WILLIAMSON TEA KENYA LIMITED,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
,,,,,,,,Inventories,"459,850","4 94,602"
CONSOLIDATED STATEMENT OF CHANGES IN EQUITY,,,,,,,,Trade and other receivables,"995,725","1 ,316,580"
,,,Revenue Reserves,,,,,Associated companies,"67,154","79,596"
,Share,Capital,Biological Assets,,,Non-controlling,,Taxation,-,-
,Capital,Reserves,gains/(losses),Other,Total,Interest,Total,Bank & Cash,"800,515","8 58,017"
,Kshs'000,Kshs'000,Kshs'000,Kshs'000,Kshs'000,Kshs'000,Kshs'000,,"2 ,323,244","2 ,748,795"
Balance at 1 April 2011,"43,782","239,867","948,532","2,904,799","3 ,853,331","134,248","4 ,271,228",,,
Total comprehensive income for the year,,,"193,301","589,665","7 82,966","2 2,748","805,714",Current liabilities,,
Dividends paid - 2011,,-,-,"(109,454)","(109,454)","(2,610)","( 112,064)",Trade and other payables,"762,028","6 08,493"
Balance at 30 September 2011,"43,782","239,867","1,141,833","3,385,010","4 ,526,843","154,386","4 ,964,878",Taxation,"15,766","46,270"
,,,,,,,,Associated companies,"13,572","26,363"
,,,,,,,,Borrowings & finance leases,"16,275","25,980"
,,,,,,,,,"807,641","7 07,106"
Balance at 1 April 2012,"43,782","586,797","1,231,631","2,917,290","4 ,148,921","165,556","4 ,945,056",,"6 ,491,035","6 ,131,230"
Total comprehensive income for the year,,,"125,491","135,915","2 61,406","1 7,206","278,612",,0,(0)
Dividends paid - 2012,,-,-,"(65,672)","(65,672)","(2,786)","( 68,458)",,,
Balance at 30 September 2012,"43,782","586,797","1,357,122","2,987,533","4 ,344,655","179,977","5 ,155,210",CONSOLIDATED STATEMENT OF CASHFLOWS,,
,,,,,,,,,30.09.2012,30.09.2011
,,,,,,,,,Kshs'000,Kshs'000
COMMENTARY ON THE RESULTS,,,,,,,,Operating activities,,
Variable weather conditions and some severe hail attacks have reduced the group crop by 6% during the period under review leading to,,,,,,,,Cash generated from operations,"180,479","2 46,525"
"a reduction in turnover. The actual costs of doing business have increased substantially, broken down into large increases in the cost of",,,,,,,,Interest paid,"( 1,698)","( 4,978)"
"green leaf purchases, power, fuel, selling and distribution costs, an additional 12% on wage costs and huge increases to our export of",,,,,,,,Interest received,"31,510","18,539"
"taxation liabilities. In addition plant, property and equipment were revalued at March 2012 which significantly increased the depreciation",,,,,,,,Taxation Paid,"( 11,420)","( 14,797)"
charge for the six months. Prices for tea have been overall satisfactory with no significant fluctuations in the Kenya Shilling although,,,,,,,,,"198,871","2 45,289"
compared to the same time a year ago the Dollar / Shilling price is averaging 7% stronger in favour of the Shilling. The combination of all,,,,,,,,Investing activities,,
these factors have severely reduced the Group operating profit by 71% to 30th September 2012.,,,,,,,,Purchase of Plant and equipment,"( 79,285)","( 88,837)"
,,,,,,,,Purchase of intangible assets,(130),( 295)
,,,,,,,,Proceeds from disposal of plant and equipment,"4,939","6,298"
,,,,,,,,Expenditure on biological assets,"( 6,455)","( 16,341)"
PROSPECTS,,,,,,,,Dividend from - Associated company,"11,608","11,607"
Since September crop intakes have improved. Market expectation is for prices to soften somewhat with increases in supply. The behaviour,,,,,,,,,"( 69,323)","( 87,568)"
of the Kenya Shilling in the next six months with general elections to be finalised is unknown. We shall be closely monitoring our cost,,,,,,,,Financing Activities,,
structures that are within our power and this will include the amounts we are able to pay our green leaf partners.,,,,,,,,Loans repaid,-,"( 6,857)"
,,,,,,,,Asset finance loans repaid,"( 15,092)","( 21,079)"
,,,,,,,,Dividends paid to shareholders,"( 65,672)","(109,454)"
,,,,,,,,Dividend paid to minority interest,"( 2,786)","( 2,610)"
UNCLAIMED DIVIDENDS,,,,,,,,,"( 83,550)","(140,000)"
Pursuant to the provisions of the Unclaimed Financial Assets Act 2011 and effective as from 1st November 2012 all unclaimed dividends,,,,,,,,,,
over 3 years old have to be surrended to the Unclaimed Financial Assets Authority (Government of Kenya) as unclaimed assets. Once,,,,,,,,Increase in cash and cash equivalents,"45,998","17,721"
"surrended to the Authority, claims for these dividends must be directed to the Authority and not to our Shares Registrar or Company Secretary.",,,,,,,,Movement in cash and cash equivalents,,
,,,,,,,,At 1 April,"754,517","8 40,296"
,,,,,,,,Increase,"45,998","17,721"
,,,,,,,,At 30 September,"800,515","8 58,017"
G K MASAKI,,,,,,,,,,
COMPANY SECRETARY,,,,,,,,Cash and Bank balances,"408,734","3 37,577"
,,,,,,,,Short term deposits,"391,781","5 20,440"
,,,,,,,,,"800,515","8 58,017"
