None • Card Not Present (CNP) fraud on the increase propelled by shift to E-commerce. • Bank Identification Number (BIN) enumeration/testing attacks. • Increased cases of Sim-Swaps and social engineering as economy open after COVID-19 containment measures. None,,,,• Increased cases of Sim-Swaps and social engineering as economy open after COVID-19 containment measures.,,,• Card Not Present (CNP) fraud on the increase propelled by shift to E-commerce. • Bank Identification Number (BIN) enumeration/testing attacks.,,,,,,,,
Measures Measures Measures Measures,,,,Measures,,,Measures,,,,,,,,
None • 24/7 fraud monitoring & surveillance. • CNP fraud recoveries through chargeback process closed the year at 100%. • 3D secure authentication-Our cards are now enrolled for cardinal . • Continuous system fraud rules refinement and deployment. • Fraud awareness. • Pin resets/log in controls in place. • 24/7 fraud monitoring & surveillance. • Fraud awareness to both customers & colleagues. • Engagements with MNOs & Group stakeholders to enhance controls on SIM swap related fraud. • Fraud awareness. None,,,,• Pin resets/log in controls in place. • 24/7 fraud monitoring & surveillance. • Fraud awareness to both customers & colleagues. • Engagements with MNOs & Group stakeholders to enhance controls on SIM swap related fraud. • Fraud awareness.,,,• 24/7 fraud monitoring & surveillance. • CNP fraud recoveries through chargeback process closed the year at 100%. • 3D secure authentication-Our cards are now enrolled for cardinal . • Continuous system fraud rules refinement and deployment. • Fraud awareness.,,,,,,,,
Liquidity Requirements Governments COVID-19 response plan Data Protection Act Engagement with the Regulator,,,,,,,Governments COVID-19 response plan,,,,,,,,
None Ensuring alignment and adherence to Directives published Compliance achieved with Data Protection Act None,,,,,,,Ensuring alignment and adherence to Directives published,,,,,,,,
Directive,Directive,,,,,,,,,,,,,,
"CBK Circular 3 of 2020 Provided requirements on emergency measures to mitigate the adverse impact of the COVID-19 pandemic on loans and advances. The circular further provided guidance on loan classification and provisioning of extended and restructured loans. Key points from the circular included: • relief granted under the emergency measures will only apply to borrowers whose loan repayments were up to date as at March 2, 2020; • Where a determination is made to grant a request for relief on personal loans, the extension should not exceed one year from March 2, 2020; • Banks to meet all the costs related to the extension and restructuring of loans; and • Requirement to report on all restructured loans on a monthly basis","CBK Circular 3 of 2020 Provided requirements on emergency measures to mitigate the adverse impact of the COVID-19 pandemic on loans and advances. The circular further provided guidance on loan classification and provisioning of extended and restructured loans. Key points from the circular included: • relief granted under the emergency measures will only apply to borrowers whose loan repayments were up to date as at March 2, 2020; • Where a determination is made to grant a request for relief on personal loans, the extension should not exceed one year from March 2, 2020; • Banks to meet all the costs related to the extension and restructuring of loans; and • Requirement to report on all restructured loans on a monthly basis",,,,,,,,,,,,,,
CBK Circular 4 of 2020 Circular provided guidance on Monetary Policy Committee (MPC) reduction of Cash Reserve Ratio (CRR) to 4.25 percent from 5.25 percent. Released amounts/liquidity to banks was to directly support borrowers that are distressed as a result of the Coronavirus (COVID-19) pandemic.,CBK Circular 4 of 2020 Circular provided guidance on Monetary Policy Committee (MPC) reduction of Cash Reserve Ratio (CRR) to 4.25 percent from 5.25 percent. Released amounts/liquidity to banks was to directly support borrowers that are distressed as a result of the Coronavirus (COVID-19) pandemic.,,,,,,,,,,,,,,
"CBK Circular 5 of 2020 Central Bank of Kenya (CBK) issued the circular and guidance note to provide minimum standards to ensure that institutions have resilient frameworks to effectively address emerging pandemic risks in the banking sector. • Specifically, all commercial banks, microfinance banks and mortgage finance companies were required to : • Formulate pandemic response plans for close monitoring of the implementation of the Business Continuity Plans; • Conduct self-risk assessment of the risks posed by a- pandemic such as COVID-19 to the institution itself; and • Submit the pandemic response plan and Self- Risk Assessment to CBK by April 6, 2020.","CBK Circular 5 of 2020 Central Bank of Kenya (CBK) issued the circular and guidance note to provide minimum standards to ensure that institutions have resilient frameworks to effectively address emerging pandemic risks in the banking sector. • Specifically, all commercial banks, microfinance banks and mortgage finance companies were required to : • Formulate pandemic response plans for close monitoring of the implementation of the Business Continuity Plans; • Conduct self-risk assessment of the risks posed by a- pandemic such as COVID-19 to the institution itself; and • Submit the pandemic response plan and Self- Risk Assessment to CBK by April 6, 2020.",,,,,,,,,,,,,,
"CRB Regulations - Additional Measures on credit information sharing The regulations set forth the following requirements: 1. A minimum threshold of Kshs 1,000 was set for negative credit information that is submitted to CRBs by lenders.; 2. Borrowers that were previously “blacklisted” only for amounts less than Kshs 1,000 will be “delisted.” 3. Suspension for a period of six months, the listing of negative credit information for borrowers whose loans were performing previously but have become non-performing from April 1, 2020. Loans that fall in arrears from April 1 to September 30, 2020, will not lead to the “blacklisting” of the borrower on the CRBs.","CRB Regulations - Additional Measures on credit information sharing The regulations set forth the following requirements: 1. A minimum threshold of Kshs 1,000 was set for negative credit information that is submitted to CRBs by lenders.; 2. Borrowers that were previously “blacklisted” only for amounts less than Kshs 1,000 will be “delisted.” 3. Suspension for a period of six months, the listing of negative credit information for borrowers whose loans were performing previously but have become non-performing from April 1, 2020. Loans that fall in arrears from April 1 to September 30, 2020, will not lead to the “blacklisting” of the borrower on the CRBs.",,,,,,,,,,,,,,
"Circular No: CMA/MRT/003/2020-Assessment of the Kenyan Capital Markets and Additional Guidance to the Industry in Light of the Corona Virus • CMA extended the deadline for the publication of audited annual financial statements due in the months of March and April 2020 by one month • CMA relaxed the disclosure requirement to publish audited financial statements in two newspapers of national circulation. Issuers and intermediaries were required to publish the financials on their website, social media and CMA and NSE websites","Circular No: CMA/MRT/003/2020-Assessment of the Kenyan Capital Markets and Additional Guidance to the Industry in Light of the Corona Virus • CMA extended the deadline for the publication of audited annual financial statements due in the months of March and April 2020 by one month • CMA relaxed the disclosure requirement to publish audited financial statements in two newspapers of national circulation. Issuers and intermediaries were required to publish the financials on their website, social media and CMA and NSE websites",,,,,,,,,,,,,,
Circular No: CMA/MRT/005/2020-Requirements for Convening and Conducting Virtual General Meetings by Issuers of Securities to the Public • CMA provided guidelines for conducting virtual AGMs in order to comply with the government ban on gatherings,Circular No: CMA/MRT/005/2020-Requirements for Convening and Conducting Virtual General Meetings by Issuers of Securities to the Public • CMA provided guidelines for conducting virtual AGMs in order to comply with the government ban on gatherings,,,,,,,,,,,,,,
Joint CMA & NSE Circular No: CMA/NSE/06/2020- Assessment and Disclosure of the Impact of COVID-19 on Listed Companies. CMA & NSE issued a joint circular requesting for the following information for purposes of assessing the impact of COVID-19 on listed companies: • Impact of covid-19 pandemic on the company’s business/ operations • The company’s response to the impact of COVID-19 • The expectations of the future impact of covid-19 on the company’s future operations and financial position,Joint CMA & NSE Circular No: CMA/NSE/06/2020- Assessment and Disclosure of the Impact of COVID-19 on Listed Companies. CMA & NSE issued a joint circular requesting for the following information for purposes of assessing the impact of COVID-19 on listed companies: • Impact of covid-19 pandemic on the company’s business/ operations • The company’s response to the impact of COVID-19 • The expectations of the future impact of covid-19 on the company’s future operations and financial position,,,,,,,,,,,,,,
12 principal risks,12 principal risks,,,,,,,,,,,,,,
FINANCIAL NON-FINANCIAL Credit Operational Traded Market Conduct Treasury Resilience Insurance Financial Crime Business Reputational Model Sustainability,FINANCIAL NON-FINANCIAL Credit Operational Traded Market Conduct Treasury Resilience Insurance Financial Crime Business Reputational Model Sustainability,,,,,,,,,,,,,,
The Bank’s approach to managing risks is outlined in the Enterprise Risk Management Framework (ERMF). The following foundations underpin the ERMF: None,The Bank’s approach to managing risks is outlined in the Enterprise Risk Management Framework (ERMF). The following foundations underpin the ERMF:,,,,,,None,,,,,,,,
"None A robust and consistent governance structure at Group , country and business level.",None,,,,,,"A robust and consistent governance structure at Group , country and business level.",,,,,,,,
Director Independence Date of Appointment Tenure (years and months) Nationality Gender,,Age,,,,,,,,,,,,,
None Charles Muchene Independent Non-Executive 22 August 2016 4 yrs 4 mths Kenyan None,,63,,,,,,,,,,,,,
None Ashok Shah Independent Non-Executive 21 July 2011 9 yrs 6 mths Kenyan None,,72,,,,,,,,,,,,,
None Winnie Ouko Independent Non-Executive 11 August 2014 6 yrs 2 mths Kenyan None,,50,,,,,,,,,,,,,
None Patricia Ithau Independent Non-Executive 23 February 2016 4 yrs 10 mths Kenyan None,,55,,,,,,,,,,,,,
None Laila Macharia Independent Non-Executive 11 August 2014 6 yrs 4 mths Kenyan None,,50,,,,,,,,,,,,,
None Japheth Olende Independent Non-Executive 7 March 2018 3 yrs 10 mths Kenyan None,,67,,,,,,,,,,,,,
None Louis Otieno Independent Non-Executive 7 March 2018 3 yrs 10 mths Kenyan None,,56,,,,,,,,,,,,,
None Jeremy Awori Executive 1 February 2013 7 yrs 11 mths Kenyan None,,50,,,,,,,,,,,,,
None Yusuf Omari Executive 1 June 2009 11 yrs 7 mths Kenyan None,,47,,,,,,,,,,,,,
None Charles Murito Independent Non-Executive 24 June 2020 7 mths Kenyan None,,44,,,,,,,,,,,,,
None Fulvio Tonelli Non-Executive 1 October 2020 3 mths South African None,,60,,,,,,,,,,,,,
Director Main Board,,,,,,,,,,,,,,,
Director Skills and Industry Experience,,,,,,,,,,,,,,,
Director Designation Changes in 2020 Meeting Attendance,,,,Changes in 2020,,,,,,,,,,,
None Incoming Chair Appointed chair with effect from 01 November 2020 None,,,,Appointed chair with effect from 01 November 2020,,,,,,,,,,,
None Outgoing Chair Resigned from the Board on 30 October 2020 None,,,,Resigned from the Board on 30 October 2020,,,,,,,,,,,
None Member Retired from the Board on 31 December 2020 None,,,,Retired from the Board on 31 December 2020,,,,,,,,,,,
None Member Joined the Committee on 01 October 2020 None,,,,Joined the Committee on 01 October 2020,,,,,,,,,,,
None Member Nil None,,,,Nil,,,,,,,,,,,
Director Designation Meeting Attendance,,,,Changes in 2020,,,,,,,,,,,
None Incoming Chair None,,,,Appointed chair with effect from 01 October 2020,,,,,,,,,,,
None Outgoing Chair/Member None,,,,Stepped down from Chair position on 01 October 2020,,,,,,,,,,,
None Member None,,,,Stepped down from the Committee on 01 October 2020,,,,,,,,,,,
None Incoming Chair Appointed Chair with effect from 1 July 2020 None,,,,Appointed Chair with effect from 1 July 2020,,,,,,,,,,,
None Outgoing Chair Retired from the Board on 31 December 2020 None,,,,Retired from the Board on 31 December 2020,,,,,,,,,,,
None Member Resigned from the Board on 30 October 2020 None,,,,Resigned from the Board on 30 October 2020,,,,,,,,,,,
None Member Joined the Board on 1 October 2020 None,,,,Joined the Board on 1 October 2020,,,,,,,,,,,
None Chair None,,,,Appointed with effect from 1 October 2020,,,,,,,,,,,
Director Number of Shares in the Company,,,,,,,,,,,,,,,
Achievements in the year,Achievements in the year,,,,,,,,,,,,,,
"Our reward philosophy underpins our growth strategy, entrepreneurial culture and risk management approach. Its objective is to direct the efforts of our colleagues in delivering our strategy of creating sustainable value for all our stakeholders in a fair and responsible way. Our reward principles 1. Attract, retain and engage high calibre individuals who have the skills, ambition and talent to deliver our strategy. 2. Support the realisation of our Stakeholder promises, with specific focus on rewarding our people for the achievement of our strategy within our risk appetite relative to performance and investor returns. 3. Align the long-term interests of our Executives and Investors, by ensuring remuneration outcomes are aligned to the value we create in the short and long term and are transparent. Specific emphasis on increasing longer term incentives for senior and executive staff aligned to market practice. 4. Pay for performance, by aligning incentive outcomes to performance and value created. Within this, we apply deferrals, and malus and clawback provisions to ensure effective alignment of risk and reward within the context of Group performance outcomes and to discourage inappropriate behaviour. 5. Drive our culture of being entrepreneurial, while taking ownership and accountability for responsible, sustainable business growth and success: We aim to do this by: • Ensuring that all colleagues share in the company’s success, differentiated basis on their contribution, in both the short and long term. • Ensuring our people’s ethical behaviours, values and adherence to our Risk Management principles are recognised in their performance ratings. 6. Continuously build confidence and trust in our reward outcomes through high quality reward governance, disclosure and engagement with our Investors as well as internal transparency and effective communication. 7. Deliver fair and responsible remuneration, through annual reviews and disclosure of pay gap metrics, and decisions that influence our most junior employees. Continues emphasis to address differences in reward considering diversity.","Our reward philosophy underpins our growth strategy, entrepreneurial culture and risk management approach. Its objective is to direct the efforts of our colleagues in delivering our strategy of creating sustainable value for all our stakeholders in a fair and responsible way. Our reward principles 1. Attract, retain and engage high calibre individuals who have the skills, ambition and talent to deliver our strategy. 2. Support the realisation of our Stakeholder promises, with specific focus on rewarding our people for the achievement of our strategy within our risk appetite relative to performance and investor returns. 3. Align the long-term interests of our Executives and Investors, by ensuring remuneration outcomes are aligned to the value we create in the short and long term and are transparent. Specific emphasis on increasing longer term incentives for senior and executive staff aligned to market practice. 4. Pay for performance, by aligning incentive outcomes to performance and value created. Within this, we apply deferrals, and malus and clawback provisions to ensure effective alignment of risk and reward within the context of Group performance outcomes and to discourage inappropriate behaviour. 5. Drive our culture of being entrepreneurial, while taking ownership and accountability for responsible, sustainable business growth and success: We aim to do this by: • Ensuring that all colleagues share in the company’s success, differentiated basis on their contribution, in both the short and long term. • Ensuring our people’s ethical behaviours, values and adherence to our Risk Management principles are recognised in their performance ratings. 6. Continuously build confidence and trust in our reward outcomes through high quality reward governance, disclosure and engagement with our Investors as well as internal transparency and effective communication. 7. Deliver fair and responsible remuneration, through annual reviews and disclosure of pay gap metrics, and decisions that influence our most junior employees. Continues emphasis to address differences in reward considering diversity.",,,,,,,,,,,,,,
2019,2020,,,,,,,,,,,,,,
Name Date of Appointment Type of Contract Notice period,,Notice period,,,,,Date of Appointment,,,,,,,,
None 1 February 2013 Permanent Six (6) months,,Six (6) months,,,,,1 February 2013,,,,,,,,
None 1 June 2009 Permanent Three (3) months,,Three (3) months,,,,,1 June 2009,,,,,,,,
2020 Shs,2020 Shs,,,,,,,,,,,,,,
35 335 680,35 335 680,,,,,,,,,,,,,,
3 533 568,3 533 568,,,,,,,,,,,,,,
26 866 921,26 866 921,,,,,,,,,,,,,,
65 736 169,65 736 169,,,,,,,,,,,,,,
17 573 200,17 573 200,,,,,,,,,,,,,,
9 865 330,9 865 330,,,,,,,,,,,,,,
27 438 530,27 438 530,,,,,,,,,,,,,,
93 174 699,93 174 699,,,,,,,,,,,,,,
Chairman,Chairman,,,,,,Member,,,,,,,,
,-,,,,,,2 784 320,,,,,,,,
985 600,1 084 160,,,,,,542 080,,,,,,,,
739 200,813 120,,,,,,406 560,,,,,,,,
N/A*,813 120,,,,,,406 560,,,,,,,,
27 217 737,27 217 737,,,,,,,,,,,,,,
2 721 774,2 721 774,,,,,,,,,,,,,,
7 817 349,7 817 349,,,,,,,,,,,,,,
37 756 860,37 756 860,,,,,,,,,,,,,,
7 000 000,7 000 000,,,,,,,,,,,,,,
2 512 554,2 512 554,,,,,,,,,,,,,,
9 512 554,9 512 554,,,,,,,,,,,,,,
47 269 414,47 269 414,,,,,,,,,,,,,,
22 August 2016,,,,,,,8 131 200,,,,,,,,
July 2011,,,,,,,3 566 640,,,,,,,,
August 2014,,,,,,,4 191 184,,,,,,,,
23 February 2016,,,,,,,5 292 540,,,,,,,,
7 March 2018,,,,,,,6 122 270,,,,,,,,
24 June 2020,,,,,,,1 595 440,,,,,,,,
1 October 2020,,,,,,,831 600,,,,,,,,
7 456 7 139 (3 296) (1 086) (4 888) 45 189,4 163,,,3 745,,,,,,,,,,,
Key Audit Matters (continued),Key Audit Matters (continued),,,,,,,,,,,,,,
Key Audit Matter How our audit addressed the key audit matter,Key Audit Matter,,,,,,How our audit addressed the key audit matter,,,,,,,,
