I,STATEMENT OF FINANCIAL POSITION,BANK,Column,COMPANY,Column,GROUP,Column,III,OTHER DISCLOSURES,BANK,Column,COMPANY,GROUP,Column
,,,"22,404,477
19,192,854
479,473
119,209",,"-
-
36,707
-",,"25,527,100
20,339,834
518,741
128,733",,,,,,,
,,"23,351,803",,-,,"26,837,485",,,,,,,,
,,"22,823,692",,-,,"24,776,746",,,,,,,,
,,"583,194",,"33,214",,"642,800",,,,,,,,
,,"137,843",,-,,"147,195",,,,,,,,
,,"46,896,532","42,196,013","33,214","36,707","52,404,226","46,514,408",,,,,,,
,,,"16,923,632
108,758
588,585",,"-
-
-",,"18,528,164
266,832
682,459",,,,,,,
,,"18,845,828",,-,,"20,753,003",,,,,,,,
,,"445,630",,-,,"685,030",,,,,,,,
,,"178,233",,-,,"287,662",,,,,,,,
,,"19,469,691","17,620,975",-,-,"21,725,695","19,477,455",,,,,,,
,,"27,426,841","24,575,038","33,214","36,707","30,678,531","27,036,953",,,,,,,
,,,"9,731,153
3,300,278
4,658,390
50,000
1,391,064",,"-
-
-
6,115,000
225,793",,"10,788,118
3,746,811
5,056,517
-
2,522,857",,,,,,,
,,"9,547,474",,-,,"11,250,967",,,,,,,,
,,"3,523,889",,-,,"4,005,174",,,,,,,,
,,"11,904,857",,-,,"12,495,587",,,,,,,,
,,-,,"11,859,000",,-,,,,,,,,
,,"1,057,419",,"273,054",,"2,504,905",,,,,,,,
,,"26,033,639","19,130,885","12,132,054","6,340,793","30,256,633","22,114,303",,,,,,,
,,"53,460,480","43,705,923","12,165,268","6,377,500","60,935,164","49,151,256",,,,,,,
,,,"10,311,641
6,072,301
38,616
674,510
550,540
1,079,919
8,158,881",,"-
191,068
92,584
2,058
-
-
35,133",,"12,716,521
7,959,949
189,050
706,335
780,195
1,264,613
9,833,224",,,,,,,
,,"11,019,908",,-,,"13,062,527",,,,,,,,
,,"7,870,746",,"260,236",,"10,124,836",,,,,,,,
,,"30,947",,"86,380",,"196,406",,,,,,,,
,,"858,342",,"2,058",,"874,842",,,,,,,,
,,"388,997",,-,,"966,435",,,,,,,,
,,"1,045,063",,-,,"1,246,319",,,,,,,,
,,"9,684,346",,"102,258",,"11,450,907",,,,,,,,
,,"30,898,349","26,886,408","450,932","320,843","37,922,272","33,449,887",,,,,,,
,,"22,562,131","16,819,515
755,864","11,714,336","6,056,657
-","23,012,892","15,701,369
755,864",,,,,,,
,,"531,125",,-,,"724,565",,,,,,,,
,,"22,031,006
-
22,031,006","16,063,651
-
16,063,651","11,714,336
-
11,714,336","6,056,657
-
6,056,657","22,288,327
203,200
22,491,527","14,945,505
89,485
15,034,990",,,,,,,
,,"(5,088,712)
(2,863,472)
14,078,822","(5,970,200)
1,287,610
11,381,061","(47,744)
-
11,666,592","(48,837)
1,025
6,008,845","(5,763,209)
(2,950,292)
13,778,026","(6,130,973)
1,319,627
10,223,644",,,,,,,
,,,"-
(1,105,905)
-
-
-",,"-
-
-
-
-",,"169,607
(1,247,599)
-
-
-",,,,,,,
,,"-
(2,388,214)",,"-
-",,"305,230
(2,491,457)",,,,,,,,
,,"-
-",,"-
-",,"-
-",,,,,,,,
,,-,,-,,-,,,,,,,,
,,"(2,388,214)
11,690,608","(1,105,905)
10,275,156","-
11,666,592","-
6,008,845","(2,186,227)
11,591,799","(1,077,992)
9,145,652",,,,,,,
,,25.93,,7.08,,8.36,,,,,,,,
