GROUP,Column,KINGDOM BANK,Column,CO-OP BANK
,"3,002,345 1,592,947 6,008,159 4,208,573
9,136,217 4,461,272 16,690,247 12,177,564
206,203 31,734 264,494 185,161
627,698 281,367 779,080 787,626
1,355,639 630,838 2,744,813 2,106,117
505,341 267,164 978,732 702,959
6,435,427 2,598,910 12,208,981 8,835,473",,"94,908 (22,130) 320,933 153,841
433,685 208,709 552,297 501,989
6,923 2,990 10,486 7,064
37,492 15,779 47,526 32,295
25,583 12,792 50,076 38,179
10,109 5,055 15,346 15,164
131,638 159,970 1,199,694 898,290",
"5,577,981",,"135,048",,"5,425,241"
"13,495,802",,"595,635",,"12,228,734"
"254,600",,"9,913",,"201,762"
"929,940",,"60,375",,"829,930"
"1,983,427",,"38,375",,"1,858,779"
"741,313",,"15,164",,"716,462"
"9,695,471",,"499,124",,"8,065,180"
"32,678,534","21,268,870 9,864,232 39,674,506 29,003,473","1,353,634","740,338 383,165 2,196,358 1,646,822","29,326,090"
"26,476,867","17,963,581 8,911,867 32,018,124 24,409,298
- - -
197,412 100,069 345,725 279,703","897,655","635,515 341,680 1,063,532 783,954
- - -
- - -","24,475,227"
-,,-,,-
"307,641",,-,,-
"26,784,508","18,160,993 9,011,936 32,363,849 24,689,001","897,655","635,515 341,680 1,063,532 783,954","24,475,227"
"7,910,314","5,363,456 2,484,702 9,367,564 7,043,400
(193,097) (52,822) (192,081) (748,977)","294,623","190,654 - 185,981 -
- - 222,392 -","7,342,558"
"(333,371)",,-,,"(420,824)"
"19,207,565","12,990,634 6,580,056 23,188,367 18,394,578","603,032","444,861 341,680 655,159 783,954","17,553,493"
