KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC (COMPANY),Column,KCB GROUP PLC (CONSOLIDATED)
8.5%,,(1.9%),,,,9.3%
16.0%,16.1% 15.2% 15.6% 16.5%,8.6%,,,,17.8%
10.5%,"10.5% 10.5% 10.5% 10.5%
5.6% 4.7% 5.1% 6.0%",10.5%,,,,10.5%
5.5%,,(1.9%),,,,7.3%
17.3%,17.4% 17.2% 17.5% 17.8%,10.3%,,,,19.6%
14.5%,"14.5% 14.5% 14.5% 14.5%
2.9% 2.7% 3.0% 3.3%",14.5%,,,,14.5%
2.8%,,(4.2%),,,,5.1%
16.7%,17.0% 16.4% 17.7% 18.6%,6.1%,,,,17.5%
16.3%,16.5% 15.7% 16.2% 17.1%,8.7%,,,,18.0%
17.6%,17.8% 17.6% 18.1% 18.5%,10.3%,,,,19.8%
33.3%,34.7% 35.4% 30.8% 32.7%,47.3%,,,,38.1%
20.0%,20.0% 20.0% 20.0% 20.0%,20.0%,,,,20.0%
13.3%,14.7% 15.4% 10.8% 12.7%,27.3%,,,,18.1%
