KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC COMPANY,Column,KCB GROUP PLC CONSOLIDATED
,"37,227,730 7,994,240
694,515,583 631,128,521
14,203,190 9,474,922
11,388,422 8,826,476
- -
54,574,726 33,314,599
1,321,852 -
- 9,094,891
3,213,463 4,858,749
- -
585,000 458,000
30,928,460 27,534,923",,"- 6,995,020
105,675,307 98,656,380
12,276,816 9,905,645
6,213,529 5,462,230
- -
628,790 -
38,104 -
- 284,351
- 274
- -
- -
2,846,796 2,812,303",,"- -
- -
- -
- -
- -
- -
2,360,330 -
- -
- -
- -
- -
765,947 617,866",
"20,966,128",,"13,951,314",,-,,"34,917,442"
"728,530,697",,"99,786,755",,-,,"1,196,587,247"
"12,953,768",,"5,780,801",,-,,"18,479,541"
"10,075,378",,"9,289,831",,-,,"42,509,059"
-,,-,,-,,-
"58,125,397",,"4,643,551",,-,,"62,636,131"
-,,"122,223",,"3,975,000",,-
"1,418,775",,"92,397",,-,,"4,420,671"
"3,213,463",,-,,-,,-
-,,-,,-,,"4,492,295"
"585,000",,-,,-,,"1,036,399"
"35,065,774",,"2,868,298",,"508,988",,"50,679,309"
"870,934,380","847,958,426 732,685,321","136,535,170","127,679,342 124,116,203","4,483,988","3,126,277 617,866","1,415,758,094"
,"53,986,100 53,986,100
- -
- -
42,463,463 69,859,150
26,755,145 4,435,113
(4,195,571) (2,485,732)
4,385,198 -
- -",,"12,683,038 12,683,038
3,141,319 3,141,319
- 1,200,558
(4,324,159) (5,121,889)
4,374,215 4,789,033
(784,481) (308,717)
- -
- -",,"3,213,463 3,213,463
27,690,149 27,690,149
- -
75,618,281 54,548,487
- -
- -
6,426,926 6,426,926
- -",
"53,986,100",,"12,683,038",,"3,213,463",,"3,213,463"
-,,"3,141,319",,"27,690,149",,"27,690,149"
-,,-,,-,,"2,487,666"
"52,348,784",,"(4,433,806)",,"75,506,919",,"154,543,615"
"23,318,826",,"4,584,996",,-,,"24,850,534"
"(5,044,208)",,"(937,654)",,-,,"(11,067,418)"
-,,-,,"6,426,926",,"6,426,926"
-,,-,,-,,-
"124,609,502","123,394,335 125,794,631","15,037,893","15,089,932 16,383,342","112,837,457","112,948,819 91,879,025","208,144,935"
-,- -,-,- -,-,- -,"6,700,793"
"995,543,882","971,352,761 858,479,952","151,573,063","142,769,274 140,499,545","117,321,445","116,075,096 92,496,891","1,630,603,822"
,"59,625,463 14,283,620
23,482,989 5,264,090
222,611 50,364
- -",,"7,499,952 1,702,206
5,616,106 1,496,467
40,017 22,174
35,501 8,749",,"- -
- -
19,383 1,788
- -",
"15,564,523",,"1,708,699",,-,,"24,694,179"
"6,292,972",,"1,386,535",,-,,"8,780,611"
"10,839",,"7,182",,"7,324",,"137,762"
-,,"8,749",,-,,-
"21,868,334","83,331,063 19,598,074","3,111,165","13,191,576 3,229,596","7,324","19,383 1,788","33,612,552"
,"17,834,494 4,005,233
3,777,636 570,879
337,545 85,794",,"3,123,059 739,857
853,860 261,740
171,048 43,220",,"- -
- -
- -",
"5,755,304",,"833,018",,-,,"7,803,278"
"2,192,142",,"363,456",,-,,"3,654,065"
"76,474",,"48,155",,-,,"95,250"
"8,023,920","21,949,675 4,661,906","1,244,629","4,147,967 1,044,817",-,- -,"11,552,593"
"13,844,414","61,381,388 14,936,168","1,866,536","9,043,609 2,184,779","7,324","19,383 1,788","22,059,959"
,"9,687,992 2,319,803
7,489,825 2,053,377
8,916,989 1,184,287
- -
5,274,148 1,234,746",,"182,740 68,572
781,435 182,497
964,611 120,605
- -
390,978 110,731",,"- -
- -
13,504 2,333
32,824,414 4,858,749
1,412,053 128,495",
"2,726,701",,"86,140",,-,,"2,720,692"
"2,718,609",,"286,576",,-,,"7,080,655"
"1,919,861",,"259,354",,"11,122",,"2,646,032"
-,,"51,144",,-,,-
"1,143,429",,"172,993",,"347,419",,"2,342,914"
"8,508,600","31,368,954 6,792,213","856,207","2,319,764 482,405","358,541","34,249,971 4,989,577","14,790,293"
"22,353,014","92,750,342 21,728,381","2,722,743","11,363,373 2,667,184","365,865","34,269,354 4,991,365","36,850,252"
,"8,560,331 1,701,574
18,518,101 4,310,870
433,849 143,362
185,795 69,035
2,169,789 537,866
1,517,741 375,466
12,453,787 2,776,811",,"2,003,475 221,107
4,694,743 1,095,477
35,038 6,469
123,551 34,682
589,774 166,332
285,536 82,337
2,783,626 581,308",,"- -
1,210,780 237,970
78,244 17,202
- -
15,693 3,715
2,026 506
840,816 71,310",
"3,319,686",,"407,394",,-,,"4,118,282"
"5,126,629",,"1,303,881",,"266,776",,"9,359,554"
"145,992",,"7,680",,"11,850",,"236,355"
"87,385",,"45,063",,-,,"199,006"
"529,009",,"138,332",,"4,383",,"1,154,647"
"379,975",,"50,273",,506,,"525,301"
"3,551,461",,"647,433",,"193,710",,"7,403,051"
"13,140,137","43,839,393 9,914,984","2,600,056","10,515,743 2,187,712","477,225","2,147,559 330,703","22,996,196"
"9,212,877","48,910,949 11,813,397","122,687","847,630 479,472","(111,360)","32,121,795 4,660,662","13,854,056"
-,- -,-,- -,-,- -,-
"9,212,877","48,910,949 11,813,397","122,687","847,630 479,472","(111,360)","32,121,795 4,660,662","13,854,056"
"(3,726,665)","(14,684,118) (3,807,407)
509,282 264,040","(128,030)","(553,222) 73,174
425,371 69,433",-,"(34,419) (4,792)
116,872 51,710","(5,435,484)"
"962,967",,"106,475",,-,,"1,334,238"
"6,449,179","34,736,113 8,270,030","101,132","719,779 336,865","(111,360)","32,204,248 4,707,580","9,752,810"
-,- -,-,- -,-,- -,"249,381"
"6,449,179","34,736,113 8,270,030","101,132","719,779 336,865","(111,360)","32,204,248 4,707,580","9,503,429"
,"- -
(4,281,932) (1,667,844)
(218,000) -
- -
1,349,980 500,353",,"- -
(1,134,300) (454,637)
-
-
340,290 136,391",,"- -
- -
- -
- -
- -",
-,,-,,-,,"(634,007)"
"(1,212,340)",,"(218,819)",,-,,"(5,725,056)"
-,,-,,-,,-
-,,-,,-,,-
"363,702",,"65,646",,-,,"1,717,517"
"(848,638)","(3,149,952) (1,167,491)","(153,173)","(794,010) (318,246)",-,- -,"(4,641,546)"
"5,600,541","31,586,161 7,102,539","(52,041)","(74,231) 18,619","(111,360)","32,204,248 4,707,580","5,111,264"
0.48,0.64 0.61,0.03,0.11 0.10,(0.14),10.02 5.86,12.14
-,"0.58 -
129,110,413 98,913,323
10,700,324 8,561,371",-,"-
18,495,986 27,716,118
2,434,820 4,545,759",,,-
"138,947,180",,"20,826,579",,,,"176,470,712"
"12,127,998",,"2,597,208",,,,"15,333,322"
"126,819,182","118,410,089 90,351,952","18,229,371","16,061,166 23,170,359",,,"161,137,390"
"65,749,112","52,055,838 41,315,519","10,696,228","10,227,482 12,260,564",,,"85,716,325"
"61,070,070","66,354,251 49,036,433","7,533,143","5,833,684 10,909,795",,,"75,421,065"
"56,543,010","62,146,449 44,761,576","7,032,471","5,575,691 10,733,780",,,"73,544,910"
"4,527,060","4,207,802 4,274,857","500,672","257,993 176,015",,,"1,876,155"
,"10,588,373 1,717,455
14,749,609 14,605,949",,"19 19
5,725,588 5,798,601",,,
"16,381,229",,51,,,,"19,125,813"
"14,717,824",,"5,700,537",,,,"23,335,422"
"31,099,053","25,337,982 16,323,404","5,700,588","5,725,607 5,798,620",,,"42,461,235"
,"111,462,201 112,478,087
4,928,705 14,005,698
- -",,"8,622,735 3,888,837
6,121,453 6,939,528
- -",,,
"180,131,434",,"9,067,134",,,,"241,490,117"
"16,378,420",,"5,390,978",,,,"23,520,012"
-,,-,,,,-
"196,509,854","116,390,906 126,483,785","14,458,112","14,744,188 10,828,365",,,"265,010,129"
,"85,964,036 112,443,731
1,000,000 1,000,000
84,964,036 111,443,731
34,786,348 28,010,113",,"11,034,430 10,172,212
1,000,000 1,000,000
10,034,430 9,172,212
1,129,549 1,322,539",,,
"92,327,887",,"10,857,004",,,,"179,653,980"
"1,000,000",,"1,000,000",,,,"1,000,000"
"91,327,887",,"9,857,004",,,,"178,653,980"
"35,598,290",,"5,173,780",,,,"45,667,501"
"127,926,177","120,750,384 140,453,844","16,030,784","12,163,979 11,494,751",,,"225,321,481"
"833,863,162","792,142,822 717,209,325","96,085,038","90,363,905 81,791,952",,,"1,321,582,701"
12.5%,12.2% 17.5%,10.5%,10.0% 9.8%,,,15.0%
8.0%,"8.0% 8.0%
4.2% 9.5%",8.0%,"8.0% 8.0%
2.0% 1.8%",,,8.0%
4.5%,,2.5%,,,,7.0%
11.1%,10.9% 15.7%,11.3%,12.2% 12.4%,,,13.6%
10.5%,"10.5% 10.5%
0.4% 5.2%",10.5%,"10.5% 10.5%
1.7% 1.9%",,,10.5%
0.6%,,0.8%,,,,3.1%
15.3%,15.2% 19.6%,16.7%,13.5% 14.1%,,,17.0%
14.5%,"14.5% 14.5%
0.7% 5.1%",14.5%,"14.5% 14.5%
(1.0%) (0.4%)",,,14.5%
0.8%,,2.2%,,,,2.5%
12.5%,12.2% 17.6%,10.6%,10.1% 9.9%,,,15.0%
11.1%,10.9% 15.8%,11.5%,12.4% 12.6%,,,13.6%
15.3%,15.3% 19.7%,16.8%,13.7% 14.3%,,,17.0%
,"29.9% 33.1%
20.0% 20.0%",,"40.5% 35.4%
20.0% 20.0%",,,
28.1%,,36.3%,,,,43.7%
20.0%,,20.0%,,,,20.0%
8.1%,9.9% 13.1%,16.3%,20.5% 15.4%,,,23.7%
