KCB KENYA BANK,Column,Column,Column,Column,NATIONAL BANK OF KENYA,Column,Column,Column,Column,KCB GROUP PLC COMPANY,Column,Column,Column,Column,KCB GROUP PLC CONSOLIDATED,Column,Column,Column,Column
,"- 20,966,128 37,227,730 24,947,348
934,197,544 728,530,697 694,515,583 681,968,942
9,761,900 12,953,768 14,203,190 6,473,878
9,214,968 10,075,378 11,388,422 6,918,706
- - - -
60,466,819 58,125,397 54,574,726 53,905,837
1,204,340 - 1,321,852 -
- 1,418,775 - -
- 3,213,463 3,213,463 -
- - - -
585,000 585,000 585,000 458,000
35,474,817 35,065,774 30,928,460 22,729,340",,,,,"- 13,951,314 - 3,950,662
117,852,925 99,786,755 105,675,307 108,438,035
3,888,221 5,780,801 12,276,816 4,980,883
4,757,270 9,289,831 6,213,529 3,918,580
- - - -
4,991,152 4,643,551 628,790 608,655
119,735 122,223 38,104 -
- 92,397 - -
- - - 274
- - - -
- - - -
9,142,487 2,868,298 2,846,796 2,987,442",,,,,"- - -
- - -
- - -
- - -
- - -
- - -
4,218,000 3,975,000 2,360,330
- - -
- - -
- - -
- - -
610,082 508,987 765,947",,,,,,,,
"35,076,652",,,,,"2,004,619",,,,,-,,,,-,"37,081,271",,,,
"1,119,543,875",,,,,"116,241,058",,,,,-,,,,-,"1,656,369,728",,,,
"3,709,926",,,,,"3,284,936",,,,,-,,,,-,"6,833,383",,,,
"7,036,851",,,,,"3,954,877",,,,,-,,,,-,"29,288,060",,,,
-,,,,,-,,,,,-,,,,-,-,,,,
"63,209,087",,,,,"5,343,202",,,,,-,,,,-,"70,221,709",,,,
"1,098,077",,,,,"128,308",,,,,"11,165,725",,,,"3,573,273",-,,,,
-,,,,,"12,092",,,,,-,,,,-,-,,,,
-,,,,,-,,,,,-,,,,-,-,,,,
-,,,,,-,,,,,-,,,,-,"4,492,295",,,,
"585,000",,,,,-,,,,,-,,,,-,"1,093,423",,,,
"39,403,070",,,,,"9,472,941",,,,,"688,551",,,,"447,762","68,068,260",,,,
"1,269,662,538","1,050,905,388 870,934,380 847,958,426 797,402,051",,,,"140,442,033","140,751,790 136,535,170 127,679,342 124,884,531",,,,"11,854,276","4,828,082 4,483,987 3,126,277",,,"4,021,035","1,873,448,129",,,,
,"53,986,100 53,986,100 53,986,100 53,986,100
- - - -
- - - -
60,139,071 52,348,784 42,463,463 63,692,045
23,012,130 23,318,826 26,755,145 25,407,241
(6,383,346) (5,044,208) (4,195,571) (4,102,275)
- - 4,385,198 3,213,463
- - - -",,,,,"12,683,038 12,683,038 12,683,038 12,683,038
3,141,319 3,141,319 3,141,319 3,141,319
- - - -
(9,032,528) (4,433,806) (4,324,159) (4,911,670)
5,239,025 4,584,996 4,374,215 5,033,545
(1,166,248) (937,654) (784,481) (891,950)
- - - -
- - - -",,,,,"3,213,463 3,213,463 3,213,463
27,690,149 27,690,149 27,690,149
- - -
82,492,598 75,506,919 75,618,281
- - -
- - -
- 6,426,926 6,426,926
- - -",,,,,,,,
"53,986,100",,,,,"12,683,038",,,,,"3,213,463",,,,"3,213,463","3,213,463",,,,
-,,,,,"3,141,319",,,,,"27,690,149",,,,"27,690,149","27,690,149",,,,
-,,,,,-,,,,,-,,,,-,"2,487,666",,,,
"68,046,655",,,,,"(7,929,020)",,,,,"79,311,602",,,,"52,048,825","175,538,898",,,,
"25,153,890",,,,,"4,927,328",,,,,-,,,,-,"26,926,847",,,,
"(9,955,117)",,,,,"(2,157,609)",,,,,-,,,,-,"(17,038,286)",,,,
-,,,,,-,,,,,-,,,,"3,213,463",-,,,,
-,,,,,-,,,,,-,,,,-,-,,,,
"137,231,528","130,753,955 124,609,502 123,394,335 142,196,574",,,,"10,665,056","10,864,606 15,037,893 15,089,932 15,054,282",,,,"110,215,214","113,396,210 112,837,457 112,948,819",,,"86,165,900","218,818,737",,,,
-,- - - -,,,,-,- - - -,,,,-,- - -,,,-,"7,274,282",,,,
"1,406,894,066","1,181,659,343 995,543,882 971,352,761 939,598,625",,,,"151,107,089","151,616,396 151,573,063 142,769,274 139,938,813",,,,"122,069,490","118,224,292 117,321,444 116,075,096",,,"90,186,935","2,099,541,148",,,,
,"31,955,440 15,564,523 59,625,463 43,624,870
13,215,558 6,292,972 23,482,989 17,291,940
436,181 10,839 222,611 110,261
- - - -",,,,,"3,569,738 1,708,699 7,499,952 5,614,591
2,785,559 1,386,535 5,616,106 4,225,991
31,660 7,182 40,017 35,966
17,610 8,749 35,501 26,553",,,,,"67,604 - -
- - -
14,974 7,324 19,383
- - -",,,,,,,,
"50,895,482",,,,,"5,572,444",,,,,"147,706",,,,-,"81,887,676",,,,
"22,267,521",,,,,"4,208,724",,,,,-,,,,-,"29,802,947",,,,
"1,590,859",,,,,"77,500",,,,,"26,626",,,,"13,180","2,234,310",,,,
-,,,,,"26,553",,,,,-,,,,-,-,,,,
"74,753,862","45,607,179 21,868,334 83,331,063 61,027,071",,,,"9,885,221","6,404,567 3,111,165 13,191,576 9,903,101",,,,"174,332","82,578 7,324 19,383",,,"13,180","113,924,933",,,,
,"12,275,472 5,755,304 17,834,494 12,559,222
4,658,714 2,192,142 3,777,636 2,402,172
150,435 76,474 337,545 256,575",,,,,"1,699,490 833,018 3,123,059 2,282,313
750,370 363,456 853,860 622,577
163,174 48,155 171,048 122,179",,,,,"- - -
- - -
67,604 - -",,,,,,,,
"20,899,629",,,,,"2,740,967",,,,,-,,,,-,"27,752,548",,,,
"6,515,149",,,,,"917,904",,,,,-,,,,-,"10,992,086",,,,
"222,768",,,,,"288,912",,,,,"147,706",,,,-,"306,773",,,,
"27,637,546","17,084,621 8,023,920 21,949,675 15,217,969",,,,"3,947,783","2,613,034 1,244,629 4,147,967 3,027,069",,,,"147,706","67,604 - -",,,-,"39,051,407",,,,
"47,116,316","28,522,558 13,844,414 61,381,388 45,809,102",,,,"5,937,438","3,791,533 1,866,536 9,043,609 6,876,032",,,,"26,626","14,974 7,324 19,383",,,"13,180","74,873,526",,,,
,"5,316,089 2,726,701 9,687,992 7,013,727
4,688,521 2,718,609 7,489,825 5,556,918
4,001,639 1,919,861 8,916,989 6,264,924
- - - -
2,440,546 1,143,429 5,274,148 3,507,740",,,,,"186,632 86,140 182,740 121,480
612,259 286,576 781,435 551,215
503,285 259,354 964,611 696,645
51,144 51,144 - -
298,904 172,993 390,978 121,825",,,,,"- - -
- - -
23,865 11,122 13,504
691,168 - 32,824,414
608,157 347,419 1,412,053",,,,,,,,
"7,549,048",,,,,"253,885",,,,,-,,,,-,"8,116,960",,,,
"8,212,318",,,,,"971,716",,,,,-,,,,-,"19,993,744",,,,
"5,603,095",,,,,"704,030",,,,,"4,666",,,,"9,985","8,192,185",,,,
-,,,,,"51,144",,,,,"941,168",,,,"5,716,749",-,,,,
"3,115,498",,,,,"378,794",,,,,"874,528",,,,"1,029,527","6,085,441",,,,
"24,479,959","16,446,795 8,508,600 31,368,954 22,343,309",,,,"2,359,569","1,652,224 856,207 2,319,764 1,491,165",,,,"1,820,362","1,323,190 358,541 34,249,971",,,"6,756,261","42,388,330",,,,
"71,596,275",,,,,"8,297,007",,,,,"1,846,988",,,,"6,769,441","117,261,856",,,,
