KCB BANK KENYA,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC COMPANY,Column,KCB GROUP PLC CONSOLIDATED
,"4,710,108 25,063,168 7,944,163
5,484,271 19,851,859 9,062,461
48,026 488,337 245,340
49,569 236,405 201,230
629,370 2,364,178 994,308
433,906 1,672,743 834,307
4,775,691 15,171,823 6,552,242",,"548,445 3,057,378 976,657
1,243,569 5,272,805 3,197,872
5,854 25,998 14,291
44,344 190,589 89,334
144,289 534,061 276,531
34,662 162,032 92,378
806,406 6,207,380 4,637,317",,"- - -
84,572 613,127 454,305
84,914 348,150 26,988
- - -
4,591 17,913 8,791
512 2,054 1,019
140,790 702,207 375,695",
"9,252,722",,"885,966",,-,,"12,199,836"
"11,045,385",,"2,458,928",,"186,846",,"19,281,769"
"78,485",,"11,008",,"195,789",,"452,751"
"113,355",,"90,906",,-,,"279,869"
"1,265,878",,"286,095",,"9,136",,"3,805,482"
"786,426",,"118,017",,"1,024",,"1,048,050"
"9,665,129",,"1,668,083",,"2,835,352",,"19,441,547"
"32,207,380","16,130,941 64,848,513 25,834,051","5,519,003","2,827,569 15,450,243 9,284,380","3,228,147","315,379 1,683,451 866,798","56,509,304"
"27,247,302",,"1,051,866",,"(2,790,890)",,"38,112,144"
