"KCB GROUP PLC
UN-AUDITED FINANCIAL STATEMENTS AND OTHER DISCLOSURES FOR THE PERIOD ENDED 31 MARCH 2025",Column,Column,Column,Column,Column,Column,Column
,"KCB BANK KENYA
,"82,644",,"92,501",,"85,231",,"109,007"
,"11,800,656","56,790,023 13,622,521","1,348,408","6,433,928 1,486,850","85,231","310,358 73,037","16,466,195"
,"22,448,350","88,856,198 20,506,602","2,394,574","9,751,864 2,381,504","52,324","68,378 13,169","33,719,254"
,,"9,155,085 2,120,661
13,742,423 3,327,555
10,330,863 4,006,299
-
4,568,699 789,350",,"132,417 90,694
1,539,265 439,200
860,271 378,538
75,000
128,796 (21,784)",,"- -
- -
(79,654) (168,141)
7,114,753 -
1,166,916 251,474",
,"2,487,251
3,326,010
1,710,658",,"96,270
267,921
107,168",,"-
-
(4,133)",,"3,021,362
7,055,888
3,132,905"
,"-
1,553,823",,"-
184,902",,"7,252,902
518,831",,"-
2,512,251"
,"9,077,742","37,797,070 10,243,865","656,261","2,735,749 886,648","7,767,600","8,202,015 83,333","15,722,406"
,"31,526,092","126,653,268 30,750,467","3,050,835","12,487,613 3,268,152","7,819,924","8,270,393 96,502","49,441,660"
,,"21,493,367 4,710,108
22,143,279 5,484,271
137,423 48,026
326,322 49,569
2,491,126 629,370
1,391,966 433,906
20,294,288 4,775,691",,"2,414,003 548,445
4,703,585 1,243,569
21,095 5,854
105,808 44,344
447,069 144,289
264,811 34,662
3,609,746 806,406",,"- -
826,578 84,572
294,830 84,914
- -
19,789 4,591
1,491 512
1,039,382 140,790",
,"4,235,800
6,514,860",,"617,973
1,227,221",,"-
108,514",,"5,604,495
10,937,451"
,"76,283
296,596
666,503
243,027",,"5,170
19,000
122,024
88,055",,"66,073
-
4,598
2,933",,"78,717
495,287
1,810,108
408,502"
,"4,975,071",,"699,372",,"324,926",,"8,925,439"
,"17,008,140
14,517,952","68,277,771 16,130,941
58,375,497 14,619,526","2,778,815
272,020","11,566,117 2,827,569
921,496 440,583","507,044
7,312,880","2,182,070 315,379
6,088,323 (218,877)","28,259,999
21,181,661"
,-,-,"-
272,020",-,-,"- -
(218,877)",-
,"14,517,952
(2,985,990)
(464,390)","58,375,497 14,619,526
(18,275,739) (2,003,141)
4,929,555 (1,447,073)","(54,416)
16,570","921,496 440,583
(23,397) (9,700)
94,925 13,333","7,312,880
(22,755)
(21,627)","6,088,323
(67,668) -
(44,962) -","21,181,661
(4,258,908)
(379,368)"
,"11,067,572
-
11,067,572","45,029,313 11,169,312
45,029,313 11,169,312","234,174
234,174","993,024 444,216
993,024 444,216","7,268,498
7,268,498","5,975,693 (218,877)
5,975,693 (218,877)","16,543,385
453,035
16,090,350"
,"-
-
7,331,205","-
8,873,000 1,791,688
8,000
(2,487,000) (537,506)","779,685","2,105,176 209,273
-
(631,553) (62,782)",-,"- -
- -
- -","-
(580,058)
9,383,150"
,"-
-
(1,334,450)",,"-
(233,906)",,"-
-",,"-
-
(2,814,945)"
,"5,996,755","6,394,000 1,254,182","545,779","1,473,623 146,491",-,- -,"5,988,147"
,"17,064,327","51,423,313 12,423,494","779,953","2,466,647 590,707","7,268,498","5,975,693 (218,877)","22,531,532"
,0.82,0.83 0.83,0.09,0.39 0.09,2.26,1.86 (0.27),20.03
,-,"0.24 -
176,810,996 164,070,581
26,112,093 21,941,056",-,"- -
30,794,509 24,881,990
3,496,589 2,663,275",,,
,"184,348,986",,"32,204,975",,,,"233,296,666"
,"29,538,713",,"3,750,684",,,,"33,675,481"
,"154,810,274","150,698,903 142,129,525","28,454,291","27,297,920 22,218,715",,,"199,621,185"
,"96,289,203","90,352,938 78,792,203","14,987,317","14,471,642 11,613,947",,,"122,543,466"
,"58,521,070","60,345,965 63,337,322","13,466,974","12,826,278 10,604,768",,,"77,077,719"
,"51,981,602","56,901,270 55,193,127","11,698,815","11,211,299 9,507,406",,,"66,537,444"
,"6,539,468","3,444,695 8,144,195","1,768,159","1,614,979 1,097,362",,,"10,540,275"
,,"8,357,211 13,641,139
17,227,793 14,231,187",,"- 58
4,853,840 4,981,680",,,
,"7,639,443
19,172,460",,"-
4,873,352",,,,"12,602,233
27,273,803"
,"26,811,903","25,585,004 27,872,326","4,873,352","4,853,840 4,981,738",,,"39,876,036"
,,"242,222,423 207,009,945
24,530,418 4,569,937
- -",,"8,046,250 13,847,281
38,768 138,788
-",,,
,"247,921,866
26,799,888
-",,"9,678,410
64,650
-",,,,"313,751,894
27,366,216
-"
,"274,721,754","266,752,841 211,579,882","9,743,060","8,085,018 13,986,069",,,"341,118,110"
,"154,609,569","144,770,039 131,678,616
1,000,000 1,000,000
143,770,039 130,678,616
32,072,475 30,980,333","9,142,577","8,996,312 9,001,002
1,000,000 1,000,000
7,996,312 8,001,002
4,600,569 5,341,344",,,"281,374,149"
,"1,000,000
153,609,569
45,041,650",,"1,000,000
8,142,577
4,376,983",,,,"1,000,000
280,374,149
50,419,490"
,"199,651,219","176,842,514 162,658,949","13,519,560","13,596,881 14,342,346",,,"331,793,639"
,"976,972,013","962,569,845 930,968,153","101,849,918","99,948,077 111,479,582",,,"1,682,522,873"
,15.4%,14.8% 13.1%,8.7%,9.0% 8.5%,,,19.7%
,8.0%,"8.0% 8.0%
6.8% 5.1%",8.0%,"8.0% 8.0%
1.0% 0.5%",,,8.0%
,7.4%,,0.7%,,,,11.7%
,15.8%,15.0% 14.1%,9.0%,9.0% 8.1%,,,16.7%
,10.5%,"10.5% 10.5%
4.5% 3.6%",10.5%,"10.5% 10.5%
(1.5%) (2.4%)",,,10.5%
,5.3%,,(1.5%),,,,6.2%
,20.4%,18.4% 17.5%,13.3%,13.6% 12.9%,,,19.7%
,"14.5%
5.9%","14.5% 14.5%
3.9% 3.0%
42.4% 43.8%","14.5%
(1.2%)","14.5% 14.5%
(0.9%) (1.6%)
34.4% 30.6%",,,"14.5%
5.2%"
,45.1%,,"42.4%
20.0%",,,,"48.9%
20.0%"
,"20.0%
25.1%","20.0% 20.0%
22.4% 23.8%",22.4%,"20.0% 20.0%
14.4% 10.6%",,,28.9%
