KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC COMPANY,Column,KCB GROUP PLC CONSOLIDATED
"779,882,254","744,461,528 758,345,431 730,292,814","133,633,970","129,588,169 126,841,620 119,225,458","88,448,957","90,933,593 81,703,555 82,507,572","1,022,153,011"
,"- - 4,914,250
569,271,015 588,627,915 587,038,471
3,818,386 1,776,411 1,070,475
843,468 662,973 1,829,756
- - -
33,930,412 34,706,661 18,663,750
- - -
3,416,320 - 472,400
9,177,637 - -
- - -
177,000 177,000 -
16,977,287 21,123,927 15,195,414",,"- - -
99,090,859 99,229,389 99,627,153
8,137,398 6,460,632 1,280,280
7,941,366 6,981,903 4,180,994
- - -
- - -
- - -
- - -
5,681 5,681 5,811
- - -
- - -
2,227,454 2,228,471 2,792,287",,"- - -
- - -
- - -
- - -
- - -
- - -
3,810,669 3,553,491 3,125,892
32,532 - -
- - -
- 10,152 -
- - -
42,952 52,364 15,131",
-,,-,,-,,-
"601,680,391",,"99,913,441",,-,,"786,035,101"
"3,035,488",,"7,485,321",,-,,"7,617,580"
"753,273",,"7,712,427",,-,,"7,388,428"
-,,-,,-,,-
"33,191,221",,"3,237,000",,-,,"35,042,011"
-,,-,,"4,019,235",,-
"1,920,732",,-,,"122,095",,"2,323,292"
-,,"5,681",,-,,-
-,,-,,-,,-
"177,000",,-,,-,,"177,000"
"23,923,622",,"2,634,480",,"122,842",,"30,649,993"
"664,681,727","637,611,525 647,074,887 629,184,516","120,988,350","117,402,758 114,906,076 107,886,525","4,264,172","3,886,153 3,616,007 3,141,023","869,233,405"
,"53,986,100 53,986,100 53,986,100
- - -
- - -
53,771,579 48,232,365 46,728,427
- - -
(907,676) (125,558) 393,771
- 9,177,637 -
- - -",,"12,368,906 12,368,906 12,368,906
- - -
1,225,905 1,225,905 1,255,687
(5,602,693) (5,506,873) (6,228,546)
4,074,991 3,794,213 3,864,058
118,302 53,393 78,828
- - -
- - -",,"3,213,463 3,213,463 3,213,456
27,690,149 27,690,149 27,690,149
- - -
52,930,365 43,970,473 48,515,214
- - -
- - (52,270)
3,213,463 3,213,463 -
- - -",
"53,986,100",,"12,368,906",,"3,213,463",,"3,213,463"
-,,-,,"27,690,149",,"27,690,149"
-,,"1,225,905",,-,,"1,225,905"
"61,439,719",,"(5,671,226)",,"53,281,173",,"126,482,898"
-,,"4,590,726",,-,,"3,795,390"
"(225,292)",,"131,309",,-,,"(9,488,199)"
-,,-,,-,,-
-,,-,,-,,-
"115,200,527","106,850,003 111,270,544 101,108,298","12,645,620","12,185,411 11,935,544 11,338,933","84,184,785","87,047,440 78,087,548 79,366,549","152,919,606"
-,- - -,-,- - -,-,- - -,-
"779,882,254","744,461,528 758,345,431 730,292,814","133,633,970","129,588,169 126,841,620 119,225,458","88,448,957","90,933,593 81,703,555 82,507,572","1,022,153,011"
,"12,869,217 52,176,373 24,720,409
4,057,503 16,220,619 7,606,469
117,279 510,169 352,471
- - -",,"1,326,844 4,641,097 2,312,683
1,365,620 5,002,783 2,329,695
25,475 86,617 40,999
- - -",,"- - -
- - -
6,246 31,329 21,129
- - -",
"28,236,791",,"2,999,930",,-,,"34,495,165"
"8,212,578",,"2,752,188",,-,,"12,069,926"
"374,300",,"60,950",,"53,349",,"552,905"
-,,-,,-,,-
"36,823,669","17,043,999 68,907,161 32,679,349","5,813,068","2,717,939 9,730,497 4,683,377","53,349","6,246 31,329 21,129","47,117,996"
,"3,271,842 14,269,287 7,010,682
453,778 1,167,011 667,568
- - -",,"692,354 2,463,293 1,233,676
100,340 150,287 58,374
19,131 98,475 48,003",,"- - -
- - -
- - -",
"6,654,627",,"1,357,121",,-,,"9,163,366"
"889,627",,"305,219",,-,,"1,538,370"
-,,"83,860",,-,,-
"7,544,254","3,725,620 15,436,298 7,678,250","1,746,200","811,825 2,712,055 1,340,053",-,- - -,"10,701,736"
"29,279,415","13,318,379 53,470,863 25,001,099","4,066,868","1,906,114 7,018,442 3,343,324","53,349","6,246 31,329 21,129","36,416,260"
,"1,383,087 7,881,136 4,730,062
1,548,936 6,343,034 3,035,565
722,245 3,416,282 1,546,968
- - -
782,302 4,731,262 1,639,242",,"18,778 97,005 63,812
259,261 894,858 534,384
109,916 486,807 196,947
- 118,065 57,000
90,100 279,087 107,253",,"- - -
- - -
(438) 37,601 27,259
9,177,637 170,000 170,000
165,721 506,956 76,910",
"3,720,881",,"50,426",,-,,"3,992,559"
"3,264,389",,"512,439",,-,,"5,194,690"
"1,586,789",,"285,054",,"28,924",,"2,717,979"
-,,"28,500",,"9,749,747",,-
"1,842,580",,"200,889",,"392,817",,"2,888,409"
"10,414,639","4,436,570 22,371,714 10,951,837","1,077,308","478,055 1,875,822 959,396","10,171,488","9,342,920 714,557 274,169","14,793,637"
"39,694,054","17,754,949 75,842,577 35,952,936","5,144,176","2,384,169 8,894,264 4,302,720","10,224,837","9,349,166 745,886 295,298","51,209,897"
,"2,494,297 23,398,651 10,321,966
4,166,307 13,485,558 6,852,603
32,655 248,102 60,235
83,116 208,882 61,594
526,819 2,201,665 772,186
435,495 1,790,693 893,204
2,161,140 10,922,584 5,629,678",,"204,781 1,387,426 413,679
1,078,550 4,077,889 1,953,757
5,541 20,436 12,106
40,117 173,612 73,344
168,737 669,051 332,618
98,807 398,030 200,508
497,057 1,855,227 1,130,082",,"- - -
157,083 658,846 132,932
7,539 50,354 31,016
- - -
3,335 12,184 5,747
506 2,026 1,013
174,363 1,376,565 174,959",
"5,860,842",,"297,367",,-,,"6,583,174"
"8,447,304",,"2,147,727",,"303,723",,"12,254,755"
"78,668",,"12,282",,"24,474",,"176,680"
"108,860",,"88,692",,-,,"246,398"
"1,058,030",,"328,414",,"6,686",,"1,749,274"
"863,402",,"192,934",,"1,013",,"1,123,996"
"4,514,699",,"1,055,062",,"442,525",,"7,159,968"
"20,931,805","9,899,829 52,256,135 24,591,466","4,122,478","2,093,590 8,581,671 4,116,094","778,421","342,826 2,099,975 345,667","29,294,245"
"18,762,249","7,855,120 23,586,442 11,361,470","1,021,698","290,579 312,593 186,626","9,446,416","9,006,340 (1,354,089) (50,369)","21,915,652"
