KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC COMPANY,Column,KCB GROUP PLC CONSOLIDATED
0.58,0.20,-,-,,,2.00
,"92,193,441
7,693,505",,"26,541,854
4,391,263",,,
"129,110,413",,"18,495,986",,,,"161,204,092"
"10,700,324",,"2,434,820",,,,"13,847,979"
"118,410,089","84,499,936","16,061,166","22,150,591",,,"147,356,113"
"52,055,838","38,766,900","10,227,482","11,782,093",,,"70,613,860"
"66,354,251","45,733,036","5,833,684","10,368,498",,,"76,742,253"
"62,146,449","40,764,309","5,575,691","10,239,577",,,"65,844,558"
"4,207,802","4,968,727","257,993","128,921",,,"10,897,695"
,"1,635,949
14,660,678",,"18
5,845,656",,,
"10,588,373",,19,,,,"11,567,155"
"14,749,609",,"5,725,588",,,,"23,209,465"
"25,337,982","16,296,627","5,725,607","5,845,674",,,"34,776,620"
,"74,967,657
20,040,940
-",,"4,514,574
5,204,900
-",,,
"111,462,201",,"8,622,735",,,,"157,031,406"
"4,928,705",,"6,121,453",,,,"12,399,606"
-,,-,,,,-
"116,390,906","95,008,597","14,744,188","9,719,474",,,"169,431,012"
,"107,656,861
1,000,000
106,656,861
28,966,763",,"10,288,488
1,000,000
9,288,488
1,316,500",,,
"85,964,036",,"11,034,430",,,,"173,697,452"
"1,000,000",,"1,000,000",,,,"1,000,000"
"84,964,036",,"10,034,430",,,,"172,697,452"
"34,786,348",,"1,129,549",,,,"40,511,551"
"120,750,384","136,623,624","12,163,979","11,604,988",,,"214,209,003"
"792,142,822","676,510,774","90,363,905","81,308,855",,,"1,249,837,735"
12.2%,17.1%,10.0%,9.1%,,,15.3%
8.0%,"8.0%
9.1%",8.0%,"8.0%
1.1%",,,8.0%
4.2%,,2.0%,,,,7.3%
10.9%,15.9%,12.2%,12.7%,,,13.9%
10.5%,"10.5%
5.4%",10.5%,"10.5%
2.2%",,,10.5%
0.4%,,1.7%,,,,3.4%
15.2%,20.2%,13.5%,14.3%,,,17.1%
14.5%,"14.5%
5.7%",14.5%,"14.5%
(0.2%)",,,14.5%
0.7%,,(1.0%),,,,2.6%
12.2%,17.2%,10.1%,9.2%,,,15.3%
10.9%,16.0%,12.4%,12.9%,,,13.9%
15.3%,20.3%,13.7%,14.5%,,,17.1%
,"35.0%
20.0%",,"41.7%
20.0%",,,
29.9%,,40.5%,,,,40.9%
20.0%,,20.0%,,,,20.0%
9.9%,15.0%,20.5%,21.7%,,,20.9%
