KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC COMPANY,Column,KCB GROUP PLC CONSOLIDATED
"1,000,000","1,000,000 1,000,000 1,000,000 1,000,000","1,000,000",,,,"1,000,000"
"94,858,311","107,724,207 111,443,731 106,656,861 100,182,772","9,078,042",,,,"142,624,523"
"33,342,189","32,788,397 28,010,113 28,966,763 23,481,250","1,097,738",,,,"36,249,184"
"129,200,500","141,512,604 140,453,844 136,623,624 124,664,022","11,175,780",,,,"179,873,707"
"759,525,124","724,881,775 717,209,325 676,510,775 664,016,358","87,819,078",,,,"992,084,739"
13.9%,15.8% 17.5% 17.1% 16.0%,9.0%,,,,15.6%
8.0%,8.0% 8.0% 8.0% 8.0%,8.0%,,,,8.0%
5.9%,7.8% 9.5% 9.1% 8.0%,1.0%,,,,7.6%
12.6%,15.0% 15.7% 15.9% 15.2%,11.5%,,,,14.5%
10.5%,10.5% 10.5% 10.5% 10.5%,10.5%,,,,10.5%
2.1%,4.5% 5.2% 5.4% 4.7%,1.0%,,,,4.0%
17.0%,19.5% 19.6% 20.2% 18.8%,12.7%,,,,18.1%
14.5%,14.5% 14.5% 14.5% 14.5%,14.5%,,,,14.5%
2.5%,5.0% 5.1% 5.7% 4.3%,(1.8%),,,,3.6%
13.9%,15.9% 17.6% 17.2% 16.1%,9.1%,,,,15.6%
12.7%,15.1% 15.8% 16.0% 15.3%,11.7%,,,,14.5%
17.1%,19.6% 19.7% 20.3% 18.9%,12.9%,,,,18.2%
34.6%,35.0% 33.1% 35.0% 36.8%,43.2%,,,,38.5%
20.0%,20.0% 20.0% 20.0% 20.0%,20.0%,,,,20.0%
14.6%,15.0% 13.1% 15.0% 16.8%,23.2%,,,,18.5%
