KCB BANK KENYA,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC,Column,Column
,"53,986,100 53,986,100
- -
(858,082) 2,260,607
36,214,366 38,580,581
3,265,250 -
- 44,100
- 7,731,163
- -",,"12,368,906 7,368,906
- -
1,255,687 1,256,148
(5,455,648) (5,100,120)
3,535,475 3,595,944
- 27,552
- -
- -",,"3,213,456 3,066,057
27,690,149 21,646,777
(51,387) (43,117)
48,559,435 43,695,161
- -
- -
8,033,640 7,665,143
- -",
"53,986,100",,"12,368,906",,"3,213,456",,"3,213,456"
-,,-,,"27,690,149",,"27,690,149"
"(752,698)",,"1,255,693",,"(51,503)",,"403,794"
"41,143,497",,"(5,565,416)",,"48,575,353",,"98,809,635"
"3,795,828",,"3,800,239",,-,,"6,685,208"
-,,-,,-,,"(9,289,802)"
-,,-,,"8,033,640",,"8,033,640"
-,,-,,-,,-
"98,172,727","92,607,634 102,602,551","11,859,422","11,704,420 7,148,430","87,461,095","87,445,293 76,030,021","135,546,080"
-,- -,-,- -,-,- -,-
"728,913,837","674,301,720 634,546,081","113,796,756","112,028,747 105,065,267","87,658,488","87,449,661 76,211,880","947,068,235"
,"50,614,710 12,101,356
12,010,200 2,762,217
1,124,242 129,078
- -",,"4,606,559 1,169,496
4,386,171 1,178,895
35,648 8,286
- -",,"- -
- -
- -
- -",
"11,896,104",,"1,268,617",,-,,"14,663,657"
"3,683,039",,"1,162,797",,-,,"5,274,889"
"190,164",,"19,312",,"14,425",,"268,430"
-,,-,,-,,-
"15,769,307","63,749,152 14,992,651","2,450,726","9,028,378 2,356,677","14,425",- -,"20,206,976"
,"13,434,169 3,069,113
1,456,515 361,338
- -",,"2,131,853 611,944
460,267 28,165
147,679 -",,"- -
- -
- -",
"3,531,341",,"596,326",,-,,"4,685,278"
"320,960",,"15,565",,-,,"467,758"
-,,"24,002",,-,,-
"3,852,301","14,890,684 3,430,451","635,893","2,739,799 640,109",-,- -,"5,153,036"
"11,917,006","48,858,468 11,562,200","1,814,833","6,288,579 1,716,568","14,425",- -,"15,053,940"
,"8,804,676 1,668,091
8,017,461 1,782,440
3,137,498 639,912
- -
3,579,632 916,797",,"147,545 2,056
1,185,731 287,362
551,980 145,644
33,800 -
136,635 48,629",,"- -
- -
(3,942) (5,013)
16,551,183 -
155,586 24,883",
"2,563,123",,"44,851",,-,,"2,670,815"
"1,932,572",,"299,070",,-,,"2,730,873"
"971,964",,"89,737",,"20,795",,"1,479,246"
-,,"57,000",,"170,000",,-
"727,301",,"41,550",,"34,679",,"1,016,126"
"6,194,960","23,539,267 5,007,240","532,208","2,055,691 483,691","225,474","16,702,827 19,870","7,897,060"
"18,111,966","72,397,735 16,569,440","2,347,041","8,344,270 2,200,259","239,899","16,702,827 19,870","22,951,000"
,"8,719,671 988,314
15,644,172 3,892,235
323,366 22,743
132,753 191,387
1,944,821 364,253
1,432,055 285,470
11,016,949 2,661,750",,"1,984,542 357,097
4,026,922 997,115
41,449 9,721
127,190 61,903
704,351 176,490
408,226 89,553
1,872,835 408,334",,"- -
66,500 12,584
38,611 10,373
- -
8,610 1,874
506 -
560,077 95,496",
"2,510,549",,"294,514",,-,,"2,897,881"
"4,123,350",,"1,001,102",,"85,099",,"5,811,719"
"24,710",,"4,761",,"10,041",,"61,083"
"16,821",,"34,280",,-,,"109,662"
"514,120",,"168,044",,"2,781",,"832,029"
"433,055",,"99,768",,506,,"554,047"
"2,634,622",,"510,543",,"122,381",,"3,762,502"
"10,257,227","39,213,787 8,406,152","2,113,012","9,165,515 2,100,213","220,808","674,304 120,327","14,028,923"
"7,854,739","33,183,948 8,163,288","234,029","(821,245) 100,046","19,091","16,028,523 (100,457)","8,922,077"
-,- -,-,"(137,713) -",-,- -,-
"7,854,739","33,183,948 8,163,288","234,029","(958,958) 100,046","19,091","16,028,523 (100,457)","8,922,077"
"(2,465,970)","(11,589,773) (2,899,934)
1,111,726 350,266",-,"(235,339) (4,795)
857,307 (29,000)",479,"(41,286) -
(100,948) 24,165","(2,712,341)"
"70,940",,"(79,105)",,"(1,151)",,"52,314"
"5,459,709","22,705,901 5,613,620","154,924","(336,990) 66,251","18,419","15,886,289 (76,292)","6,262,050"
-,- -,,,-,- -,-
"5,459,709","22,705,901 5,613,620","154,924","(336,990) 66,251","18,419","15,886,289 (76,292)","6,262,050"
,"- -
(3,612,287) 228,651
(719,000) -
- -
869,353 (68,595)",,"- -
194,861 234,227
(8,881) -
- -
(55,794) (70,273)",,"- -
(12,653) (839)
- -
- -
3,796 252",
-,,-,,-,,"(307,324)"
"150,549",,-,,(166),,"(213,933)"
-,,-,,-,,-
-,,-,,-,,-
"(45,165)",,-,,50,,"64,180"
"105,384","(3,461,934) 160,056",-,"130,186 163,954",(116),"(8,857) (587)","(457,077)"
"5,565,093","19,243,967 5,773,676","154,924","(206,804) 230,205","18,303","15,877,432 (76,879)","5,804,973"
0.40,0.40 0.42,0.05,- 0.04,0.02,5.12 -,7.79
-,0.30 -,-,- -,-,3.50 -,-
,"34,786,250 35,929,025
4,050,790 4,256,303",,"25,175,371 31,480,900
4,530,646 4,524,488",,,
"37,422,149",,"25,078,227",,,,"66,200,990"
"4,403,204",,"4,895,141",,,,"9,641,413"
"33,018,945","30,735,460 31,672,722","20,183,086","20,644,725 26,956,412",,,"56,559,577"
"19,516,138","17,052,633 14,541,637","10,490,396","10,274,767 14,452,406",,,"30,937,749"
"13,502,807","13,682,827 17,131,085","9,692,690","10,369,958 12,504,006",,,"25,621,828"
"11,473,497","11,604,247 15,798,783","9,291,633","10,066,760 11,796,427",,,"28,300,710"
"2,029,310","2,078,580 1,332,302","401,057","303,198 707,579",,,"(2,678,882)"
,"1,385,533 2,233,339
12,614,514 11,644,458",,"37 37,219
5,492,318 5,281,345",,,
"2,913,388",,37,,,,"1,206,571"
"13,086,830",,"5,401,972",,,,"19,610,008"
"16,000,218","14,000,047 13,877,797","5,402,009","5,492,355 5,318,564",,,"20,816,579"
,"76,191,558 69,580,493
14,472,705 17,500,426
- -",,"6,396,276 5,246,336
506,750 1,236,082
- -",,,
"79,374,884",,"7,547,409",,,,"98,351,717"
"18,681,757",,"1,081,138",,,,"21,554,217"
-,,-,,,,-
"98,056,641","90,664,263 87,080,919","8,628,547","6,903,026 6,482,418",,,"119,905,934"
"92,399,743","90,200,466 89,803,971","6,400,196","6,579,626 2,024,567",,,"126,582,215"
"1,000,000","1,000,000 1,000,000
89,200,466 88,803,971","1,000,000","1,000,000 1,000,000
5,579,626 1,024,567",,,"7,651,564"
"91,399,743",,"5,400,196",,,,"118,930,651"
"11,697,078","10,866,500 7,560,000","1,165,133","1,154,704 1,245,406",,,"14,586,458"
"104,096,821","101,066,966 97,363,971","7,565,329","7,734,330 3,269,973",,,"141,168,673"
"606,969,620","577,236,270 548,967,531","65,953,814","67,262,493 86,218,929",,,"741,289,624"
15.9%,17.1% 18.3%,6.7%,7.2% 2.2%,,,17.1%
8.0%,"8.0% 8.0%
9.1% 10.3%",8.0%,"8.0% 8.0%
-0.8% -5.8%",,,8.0%
7.9%,,-1.3%,,,,9.1%
15.2%,15.6% 16.4%,9.7%,9.8% 2.4%,,,17.1%
10.5%,"10.5% 10.5%
5.1% 5.9%",10.5%,"10.5% 10.5%
-0.7% -8.1%",,,10.5%
4.7%,,-0.8%,,,,6.6%
17.2%,17.5% 17.7%,11.5%,11.5% 3.8%,,,19.0%
14.5%,"14.5% 14.5%
3.0% 3.2%",14.5%,"14.5% 14.5%
-3.0% -10.7%",,,14.5%
2.7%,,-3.0%,,,,4.5%
16.4%,17.7% 19.2%,6.8%,7.3% 3.1%,,,17.5%
15.7%,16.2% 17.2%,9.8%,10.0% 3.3%,,,17.5%
17.6%,18.1% 18.6%,11.6%,11.7% 4.7%,,,19.4%
35.4%,30.8% 32.3%,45.7%,46.1% 40.4%,,,40.1%
20.0%,"20.0% 20.0%
10.8% 12.3%",20.0%,"20.0% 20.0%
26.1% 20.4%",,,20.0%
15.4%,,25.7%,,,,20.1%
