KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC COMPANY,Column,KCB GROUP PLC CONSOLIDATED
"10,951,552",,"1,826,355",,"827,559",,"30,268,920"
"115,779",,-,,-,,"121,050"
"3,154,330",,"373,115",,"2,527",,"19,369,802"
"23,795,094",,"5,509,119",,"105,699",,"31,424,593"
-,,-,,-,,-
"21,444,316",,"6,948,440",,"90,207",,"45,131,644"
"1,181,659,343","995,543,882 971,352,761 887,840,368","151,616,396","151,573,063 142,769,274 139,006,624","118,224,294","117,321,445 116,075,096 91,614,607","1,864,591,050"
,"20,966,128 37,227,730 -
728,530,697 694,515,583 674,828,828
12,953,768 14,203,190 5,240,432
10,075,378 11,388,422 11,668,798
- - -
58,125,397 54,574,726 35,656,075
- 1,321,852 -
1,418,775 - -
3,213,463 3,213,463 3,588,745
- - -
585,000 585,000 458,000
35,065,774 30,928,460 23,213,938",,"13,951,314 - -
99,786,755 105,675,307 112,456,059
5,780,801 12,276,816 2,341,580
9,289,831 6,213,529 4,769,203
- - -
4,643,551 628,790 -
122,223 38,104 -
92,397 - 178,799
- - 274
- - -
- - -
2,868,298 2,846,796 3,028,624",,"- - -
- - -
- - -
- - -
- - -
- - -
3,975,000 2,360,330 -
- - -
- - 5,156,922
- - -
- - -
508,987 765,947 309,325",
-,,-,,-,,-
"934,197,544",,"117,852,925",,-,,"1,471,246,362"
"9,761,900",,"3,888,221",,-,,"13,395,093"
"9,214,968",,"4,757,270",,-,,"35,226,801"
-,,-,,-,,-
"60,466,819",,"4,991,152",,"18,175",,"65,643,453"
"1,204,340",,"119,735",,"4,218,000",,-
-,,-,,-,,"311,447"
-,,-,,-,,-
-,,-,,-,,"4,492,295"
"585,000",,-,,-,,"1,079,582"
"35,474,817",,"9,142,487",,"591,909",,"55,198,628"
"1,050,905,388","870,934,380 847,958,426 754,654,816","140,751,790","136,535,170 127,679,342 122,774,539","4,828,084","4,483,987 3,126,277 5,466,247","1,646,593,661"
,"53,986,100 53,986,100 53,986,100
- - -
- - -
52,348,784 42,463,463 71,187,666
23,318,826 26,755,145 11,352,378
(5,044,208) (4,195,571) (3,340,592)
- 4,385,198 -
- - -",,"12,683,038 12,683,038 12,683,038
3,141,319 3,141,319 3,141,319
- - 1,200,558
(4,433,806) (4,324,159) (5,192,523)
4,584,996 4,374,215 5,184,560
(937,654) (784,481) (784,867)
- - -
- - -",,"3,213,463 3,213,463 3,213,463
27,690,149 27,690,149 27,690,149
- - -
75,506,919 75,618,281 55,244,748
- - -
- - -
6,426,926 6,426,926 -
- - -",
"53,986,100",,"12,683,038",,"3,213,463",,"3,213,463"
-,,"3,141,319",,"27,690,149",,"27,690,149"
-,,-,,-,,"2,487,666"
"60,139,071",,"(9,032,528)",,"82,492,598",,"166,299,907"
"23,012,130",,"5,239,025",,-,,"25,197,867"
"(6,383,346)",,"(1,166,248)",,-,,"(13,657,013)"
-,,-,,-,,-
-,,-,,-,,-
"130,753,955","124,609,502 123,394,335 133,185,552","10,864,606","15,037,893 15,089,932 16,232,085","113,396,210","112,837,457 112,948,819 86,148,360","211,232,039"
-,- - -,-,- - -,-,- - -,"6,765,350"
"1,181,659,343","995,543,882 971,352,761 887,840,368","151,616,396","151,573,063 142,769,274 139,006,624","118,224,294","117,321,444 116,075,096 91,614,607","1,864,591,050"
,"15,564,523 59,625,463 28,576,896
6,292,972 23,482,989 11,215,286
10,839 222,611 72,414
- - -",,"1,708,699 7,499,952 3,865,030
1,386,535 5,616,106 2,881,276
7,182 40,017 31,249
8,749 35,501 17,610",,"- - -
- - -
7,324 19,383 7,977
- - -",
"31,955,440",,"3,569,738",,"67,604",,"51,213,444"
"13,215,558",,"2,785,559",,-,,"18,117,294"
"436,181",,"31,660",,"14,974",,"812,764"
-,,"17,610",,-,,-
"45,607,179","21,868,334 83,331,063 39,864,596","6,404,567","3,111,165 13,191,576 6,795,165","82,578","7,324 19,383 7,977","70,143,502"
,"5,755,304 17,834,494 8,066,785
2,192,142 3,777,636 1,303,699
76,474 337,545 172,858",,"833,018 3,123,059 1,506,859
363,456 853,860 420,945
48,155 171,048 78,190",,"- - -
- - -
- - -",
"12,275,472",,"1,699,490",,-,,"16,543,423"
"4,658,714",,"750,370",,"67,604",,"7,902,905"
"150,435",,"163,174",,-,,"188,843"
"17,084,621","8,023,920 21,949,675 9,543,342","2,613,034","1,244,629 4,147,967 2,005,994","67,604",- - -,"24,635,171"
"28,522,558","13,844,414 61,381,388 30,321,254","3,791,533","1,866,536 9,043,609 4,789,171","14,974","7,324 19,383 7,977","45,508,331"
,"2,726,701 9,687,992 4,740,198
2,718,609 7,489,825 3,707,715
1,919,861 8,916,989 3,615,605
- - -
1,143,429 5,274,148 2,055,787",,"86,140 182,740 157,736
286,576 781,435 316,902
259,354 964,611 401,436
51,144 - -
172,993 390,978 98,234",,"- - -
- - -
11,122 13,504 6,339
- 32,824,414 5,716,749
347,419 1,412,053 333,866",
"5,316,089",,"186,632",,-,,"5,551,179"
"4,688,521",,"612,259",,-,,"12,283,788"
"4,001,639",,"503,285",,"23,865",,"5,908,379"
-,,"51,144",,"691,168",,-
"2,440,546",,"298,904",,"608,157",,"3,816,676"
"16,446,795","8,508,600 31,368,954 14,119,305","1,652,224","856,207 2,319,764 974,308","1,323,190","358,541 34,249,971 6,056,954","27,560,022"
"44,969,353","22,353,014 92,750,342 44,440,559","5,443,757","2,722,743 11,363,373 5,763,479","1,338,164","365,865 34,269,354 6,064,931","73,068,353"
,"3,319,686 8,560,331 3,287,594
5,126,629 18,518,101 8,818,995
145,992 433,849 289,618
87,385 185,795 104,014
529,009 2,169,789 1,082,785
379,975 1,517,741 760,219
3,551,461 12,453,787 6,254,926",,"407,394 2,003,475 563,400
1,303,881 4,694,743 2,424,784
7,680 35,038 13,788
45,063 123,551 111,023
138,332 589,774 316,822
50,273 285,536 162,542
647,433 2,783,626 1,206,971",,"- - -
266,776 1,210,780 504,346
11,850 78,244 42,290
- - -
4,383 15,693 7,491
506 2,026 1,013
193,710 840,816 193,430",
"7,944,163",,"976,657",,-,,"10,191,358"
"9,062,461",,"3,197,872",,"454,305",,"17,461,120"
"245,340",,"14,291",,"26,988",,"449,211"
"101,230",,"89,334",,-,,"410,360"
"994,308",,"276,531",,"8,791",,"3,887,036"
"834,307",,"92,378",,"1,019",,"1,110,392"
"6,612,395",,"4,637,317",,"375,695",,"17,101,495"
"25,794,204","13,140,137 43,839,393 20,598,151","9,284,380","2,600,056 10,515,743 4,799,330","866,798","477,225 2,147,559 748,570","50,610,972"
"19,175,149",,"(3,840,623)",,"471,366",,"22,457,381"
