KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,"KCB GROUP PLC
(COMPANY)",Column,"KCB GROUP PLC
(CONSOLIDATED)"
,"59,273,049 12,869,217
17,896,923 4,057,503
1,194,727 117,279
- -",,"6,301,436 1,326,844
5,761,130 1,365,620
170,981 25,475
6,221 -",,"140,487 -
- -
16,662 6,246
- -",
"14,283,620",,"1,702,206",,-,,"18,799,438"
"5,264,090",,"1,496,467",,-,,"7,658,863"
"50,364",,"22,174",,"1,788",,"169,340"
-,,"8,749",,-,,-
"19,598,074","78,364,699 17,043,999","3,229,596","12,239,768 2,717,939","1,788","157,149 6,246","26,627,641"
,"14,665,787 3,271,842
1,819,184 453,778
373,643 -",,"2,941,403 692,354
687,169 100,340
347,976 19,131",,"- -
- -
- -",
"4,005,233",,"739,857",,-,,"5,734,751"
"570,879",,"261,740",,-,,"1,045,933"
"85,794",,"43,220",,-,,"107,141"
"4,661,906","16,858,614 3,725,620","1,044,817","3,976,548 811,825",-,- -,"6,887,825"
"14,936,168","61,506,085 13,318,379","2,184,779","8,263,220 1,906,114","1,788","157,149 6,246","19,739,816"
,"8,278,303 1,383,087
6,648,903 1,548,936
3,951,977 722,245
- -
3,399,876 782,302",,"84,686 18,778
691,150 259,261
666,907 109,916
100,021 -
305,043 90,100",,"32,385 -
- -
51,613 (438)
15,688,218 9,177,637
1,154,508 165,721",
"2,319,803",,"68,572",,-,,"2,573,801"
"2,053,377",,"182,497",,-,,"3,349,111"
"1,184,287",,"120,605",,"2,333",,"1,739,501"
-,,-,,"4,858,749",,-
"1,234,746",,"110,731",,"128,495",,"1,629,160"
"6,792,213","22,279,059 4,436,570","482,405","1,847,807 478,055","4,989,577","16,926,724 9,342,920","9,291,573"
"21,728,381","83,785,144 17,754,949","2,667,184","10,111,027 2,384,169","4,991,365","17,083,873 9,349,166","29,031,389"
,"10,702,886 2,494,297
16,915,986 4,166,307
542,156 32,655
159,150 83,116
2,145,492 526,819
1,630,771 435,495
11,185,470 2,161,140",,"1,014,004 204,781
4,266,885 1,078,550
26,719 5,541
141,700 40,117
762,341 168,737
364,429 98,807
2,147,992 497,057",,"- -
1,044,027 157,083
46,920 7,539
- -
13,669 3,335
2,026 506
447,212 174,363",
"1,701,574",,"221,107",,-,,"2,075,384"
"4,310,870",,"1,095,477",,"237,970",,"6,719,455"
"143,362",,"6,469",,"17,202",,"238,437"
"69,035",,"34,682",,-,,"197,835"
"537,866",,"166,332",,"3,715",,"955,847"
"375,466",,"82,337",,506,,"513,868"
"2,776,811",,"581,308",,"71,310",,"4,298,485"
"9,914,984","43,281,911 9,899,829","2,187,712","8,724,070 2,093,590","330,703","1,553,854 342,826","14,999,311"
"11,813,397","40,503,233 7,855,120","479,472","1,386,957 290,579","4,660,662","15,530,019 9,006,340","14,032,078"
-,- -,-,- -,-,- -,-
"11,813,397","40,503,233 7,855,120
(16,203,222) (3,678,337)
4,289,120 1,362,431","479,472","1,386,957 290,579
(531,628) (566)
162,261 (105,598)","4,660,662","15,530,019 9,006,340
(22,289) (58,304)
3,145 11,857","14,032,078"
"(3,807,407)",,"(73,174)",,"(4,792)",,"(4,439,490)"
"264,040",,"(69,433)",,"51,710",,"263,814"
"8,270,030","28,589,131 5,539,214","336,865","1,017,590 184,415","4,707,580","15,510,875 8,959,893","9,856,402"
-,- -,-,- -,-,- -,"67,508"
"8,270,030","28,589,131 5,539,214","336,865","1,017,590 184,415","4,707,580","15,510,875 8,959,893","9,788,894"
,"- -
(896,372) (1,117,311)
(418,000) -
- -
394,312 335,193",,"- -
(62,663) 46,892
- -
- -
18,799 (14,068)",,"- -
- -
- -
- -
- -",
-,,-,,-,,"340,296"
"(1,667,844)",,"(454,637)",,-,,"(1,352,546)"
-,,-,,-,,-
-,,-,,-,,-
"500,353",,"136,391",,-,,"405,764"
"(1,167,491)","(920,060) (782,118)","(318,246)","(43,864) 32,824",-,- -,"(606,486)"
"7,102,539","27,669,071 4,757,096","18,619","973,726 217,239","4,707,580","15,510,875 8,959,893","9,249,916"
0.61,0.53 0.41,0.01,0.08 0.07,5.86,4.83 11.15,12.18
-,0.20 -,-,- -,,,-
"98,913,323","92,193,441 68,465,655
7,693,505 8,170,459","27,716,118","26,541,854 26,360,967
4,391,263 4,734,041",,,"130,947,239"
"8,561,371",,"4,545,759",,,,"13,506,617"
"90,351,952","84,499,936 60,295,196","23,170,359","22,150,591 21,626,926",,,"117,440,622"
"41,315,519","38,766,900 32,805,809","12,260,564","11,782,093 11,503,961",,,"55,439,476"
"49,036,433","45,733,036 27,489,387","10,909,795","10,368,498 10,122,965",,,"62,001,146"
"44,761,576","40,764,309 24,779,217","10,733,780","10,239,577 9,325,185",,,"59,586,869"
"4,274,857","4,968,727 2,710,170","176,015","128,921 797,780",,,"2,414,277"
,"1,635,949 2,990,946
14,660,678 14,588,062",,"18 4
5,845,656 5,941,974",,,
"1,717,455",,19,,,,"1,194,696"
"14,605,949",,"5,798,601",,,,"22,456,920"
"16,323,404","16,296,627 17,579,008","5,798,620","5,845,674 5,941,978",,,"23,651,616"
,"74,967,657 67,007,549
20,040,940 12,319,935
- -",,"4,514,574 5,055,196
5,204,900 4,179
- -",,,
"112,478,087",,"3,888,837",,,,"130,246,242"
"14,005,698",,"6,939,528",,,,"22,703,205"
-,,-,,,,-
"126,483,785","95,008,597 79,327,484","10,828,365","9,719,474 5,059,375",,,"152,949,447"
"112,443,731","107,656,861 104,988,072","10,172,212","10,288,488 6,463,711",,,"166,997,570"
"1,000,000","1,000,000 1,000,000
106,656,861 103,988,072","1,000,000","1,000,000 1,000,000
9,288,488 5,463,711",,,"1,000,000"
"111,443,731",,"9,172,212",,,,"165,997,570"
"28,010,113","28,966,763 24,046,000","1,322,539","1,316,500 1,268,343",,,"30,947,172"
"140,453,844","136,623,624 129,034,072","11,494,751","11,604,988 7,732,054",,,"197,944,742"
"717,209,325","676,510,775 649,662,033","81,791,952","81,308,855 77,691,953",,,"864,249,585"
17.5%,17.1% 18.4%,9.8%,9.1% 6.0%,,,19.7%
8.0%,"8.0% 8.0%
9.1% 10.4%",8.0%,"8.0% 8.0%
1.1% (2.0%)",,,8.0%
9.5%,,1.8%,,,,11.7%
15.7%,15.9% 16.2%,12.4%,12.7% 8.4%,,,19.2%
10.5%,"10.5% 10.5%
5.4% 5.7%",10.5%,"10.5% 10.5%
2.2% (2.1%)",,,10.5%
5.2%,,1.9%,,,,8.7%
19.6%,20.2% 19.9%,14.1%,14.3% 10.0%,,,22.8%
14.5%,"14.5% 14.5%
5.7% 5.4%
17.2% 18.6%
16.0% 16.3%
20.3% 20.0%",14.5%,"14.5% 14.5%
(0.2%) (4.5%)
9.2% 6.3%
12.9% 8.7%
14.5% 10.3%",,,14.5%
5.1%,,-0.4%,,,,8.3%
17.6%,,9.9%,,,,19.7%
15.8%,,12.6%,,,,19.3%
19.7%,,14.3%,,,,22.9%
33.1%,35.0% 31.3%,35.4%,41.7% 42.7%,,,36.9%
20.0%,"20.0% 20.0%
15.0% 11.3%",20.0%,"20.0% 20.0%
21.7% 22.7%",,,20.0%
13.1%,,15.4%,,,,16.9%
