BANK,Column,COMPANY,Column,GROUP,Column
,"6,921,334","283,059 271,954 -",-,"8,074,154 17,450,162 4,069,343","8,201,214"
,"23,019,153","29,573 45,127 -",-,"24,145,464 48,830,536 12,707,921","25,401,569"
,,"- - -
- - -
(18,176) (14,016) (5,013)
9,004,528 16,863,871 -
62,272 105,824 24,883",,"3,078,034 7,441,206 2,156,531
3,697,558 6,797,540 1,885,926
2,823,695 4,374,312 976,835
53 365 -
1,880,430 4,360,140 1,030,682",
,"3,625,208",,-,,"4,661,799"
,"4,139,561",,-,,"4,240,259"
,"1,321,545",,"2,626",,"2,060,269"
,-,,"3,239,166",,-
,"1,900,556",,"77,680",,"2,209,837"
,"10,986,870","9,048,624 16,955,679 19,870","3,319,472","11,479,770 22,973,563 6,049,974","13,172,164"
,"34,006,023","9,078,197 17,000,806 19,870","3,319,472","35,625,234 71,804,099 18,757,895","38,573,733"
,,"- - -
25,498 91,398 12,584
15,428 26,982 10,373
- - -
1,430 3,557 1,874
- - -
92,728 372,838 95,496",,"827,684 2,944,367 1,163,108
8,599,757 17,007,482 4,632,581
94,055 339,076 44,523
668,798 1,262,514 311,496
915,705 1,866,468 452,818
590,075 1,279,757 300,648
6,833,934 13,245,599 3,356,456",
,"2,698,420",,-,,"3,031,105"
,"7,707,484",,"23,826",,"8,995,945"
,"15,696",,"27,924",,"102,414"
,"69,036",,-,,"184,713"
,"952,001",,"3,838",,"1,216,887"
,"629,034",,-,,"666,209"
,"5,131,180",,"155,936",,"6,443,384"
,"17,202,851","135,084 494,775 120,327","211,524","18,530,008 37,945,263 10,261,630","20,640,657"
,"16,803,172","8,943,113 16,506,031 (100,457)","3,107,948","17,095,226 33,858,836 8,496,265","17,933,076"
,-,- - -,-,- - -,-
,"16,803,172","8,943,113 16,506,031 (100,457)","3,107,948","17,095,226 33,858,836 8,496,265","17,933,076"
,"(5,687,496)","(7,389) (361) -
7,305 103,919 24,165",-,"(5,528,864) (11,275,951) (3,096,954)
544,998 1,412,085 374,431","(5,952,003)"
,"700,632",,"38,285",,"741,870"
,"11,816,308","8,943,029 16,609,589 (76,292)","3,146,233","12,111,360 23,994,970 5,773,742","12,722,943"
,-,- - -,-,- - -,-
,"11,816,308","8,943,029 16,609,589 (76,292)","3,146,233","12,111,360 23,994,970 5,773,742","12,722,943"
