,,-,-,-,-,-,-,-,-,,,,
,,"116,492","220,338","223,225","248,108","99,423","203,818","206,654","231,631",,,"2,8","52,974 3,186,337 3,280,473 3,273,448"
,,"23,046,540","29,278,396","30,224,381","30,811,648","23,067,154","29,325,841","30,271,854","30,842,521",,,,
,,,,,,,,,,,,3,"50,000 500,000 500,000 500,000"
,,,,,,,,,,,,"2,5","02,974 2,686,337 2,780,473 2,773,448"
,,,,,,,,,,,,2,"98,707 3,186,337 3,280,473 3,273,448"
,,-,-,-,-,-,-,-,-,,,,
,,,,,,,,,,,,"3,1","51,681 6,372,674 6,560,946 6,546,896"
,,"16,402,873","15,943,341","16,627,735","17,491,580","16,403,973","15,945,317","16,629,960","17,493,834",,,,
,,-,-,-,-,-,-,-,-,,,"10,8","52,487 13,077,391 13,613,969 14,131,282"
,,-,-,-,-,-,-,-,-,,,1,7.39% 19.98% 19.73% 18.71%
,,-,-,-,-,-,-,-,-,,,,8.00% 8.00% 8.00% 8.00%
,,"2,000,000","8,604,269","8,525,178","8,244,644","2,000,000","8,604,269","8,525,178","8,244,644",,,,9.39% 11.98% 11.73% 10.71%
,,-,-,-,-,"14,958","14,958","14,958","14,958",,,2,6.29% 24.37% 24.10% 23.16%
,,-,"26,337","77,754",-,-,"50,441","101,858","7,341",,,,8.00% 8.00% 8.00% 8.00%
,,"115,000",-,-,"195,500","115,000",-,-,"195,500",,,1,8.29% 16.37% 16.10% 15.16%
,,-,-,-,-,-,-,-,-,,,2,9.04% 48.73% 48.19% 46.33%
,,-,-,-,-,-,-,-,-,,,1,2.00% 12.00% 12.00% 12.00%
,,"428,495","447,042","616,183","502,249","422,588","441,326","610,437","496,665",,,1,7.04% 36.73% 36.19% 34.33%
,,"18,946,368","25,020,989","25,846,850","26,433,973","18,956,519","25,056,311","25,882,391","26,452,942",,,,
,,,,,,,,,,,,3,5.26% 55.73% 53.30% 46.40%
,,"1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000","1,150,000",,,,
,,,,,,,,,,,,2,0.00% 20.00% 20.00% 20.00%
,,"1,549,173","1,549,173","1,549,173","1,549,173","1,549,173","1,549,173","1,549,173","1,549,173",,,,
,,,,,,,,,,,,1,5.26% 35.73% 33.30% 26.40%
,,"449,202","449,202","449,202","523,130","449,202","449,202","449,202","523,130",,,,
,,"214,040","475,040","629,354","683,182","224,503","487,163","641,286","695,086",,,,
,,"606,507","502,742","468,552","421,440","606,507","502,742","468,552","421,440",,,,
,,"80,500","80,500","80,500",-,"80,500","80,500","80,500",-,,,,
,,"50,750","50,750","50,750","50,750","50,750","50,750","50,750","50,750",,,,
,,"4,100,172","4,257,407","4,377,531","4,377,675","4,110,635","4,269,530","4,389,463","4,389,579",,,,
,,"23,046,540","29,278,396","30,224,381","30,811,648","23,067,154","29,325,841","30,271,854","30,842,521",,,,
,,,GROUP,,,,COMPANY,,,,,,
II STATEMENT OF COMPREHENSIVE INCOME,30.06.2010,,31.12.2010,31.03.2011,30.06.2011,30.06.2010,31.12.2010,31.03.2011,30.06.2011,,,,
,UnAudited,,Audited,Unaudited,Unaudited,UnAudited,Audited,Unaudited,Unaudited,,,,
,(Ksh’000),,(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),(Ksh’000),,,,
,"1,028,551",,"2,221,791","651,441","1,345,100","1,028,551","2,221,791","651,441","1,345,100",,,,
,"18,067",,"35,222","8,323","16,667","18,067","35,222","8,323","16,667",,,,
,"103,559",,"218,801","95,917","191,799","103,559","218,802","95,917","191,799",,,,
,-,,,-,-,-,,-,-,,,,
,"1,150,177",,"2,475,814","755,681","1,553,566","1,150,177","2,475,815","755,681","1,553,566",,,,
,"401,258",,"793,444","150,158","312,780","401,268","793,472","150,167","312,807",,,,
,-,,-,-,-,-,-,-,-,,,,
,"85,495",,"281,382","170,891","344,504","85,495","281,381","170,891","344,504",,,,
,"486,753",,"1,074,826","321,049","657,284","486,763","1,074,853","321,058","657,311",,,,
,"663,424",,"1,400,988","434,632","896,282","663,414","1,400,962","434,623","896,255",,,,
,"45,645",,"103,294","31,740","71,059","45,645","103,294","31,740","71,059",,,,
,"32,774",,"65,185","15,145","30,716","32,774","64,688","15,092","30,716",,,,
,-,,-,-,-,-,-,-,-,,,,
,-,,-,-,-,-,-,-,-,,,,
,"36,380",,"85,717","16,284","38,759","35,510","84,474","15,902","37,931",,,,
,"114,799",,"254,196","63,169","140,534","113,929","252,456","62,734","139,706",,,,
,"778,223",,"1,655,184","497,801","1,036,816","777,343","1,653,418","497,357","1,035,961",,,,
,"117,582",,"238,445","75,516","150,078","117,582","238,445","75,516","150,078",,,,
,"237,007",,"489,608","134,301","280,303","236,954","489,511","134,283","280,144",,,,
,"5,631",,"11,222","3,771","7,612","5,631","11,222","3,771","7,612",,,,
,"6,331",,"13,131","3,078","7,011","6,228","12,925","3,016","6,949",,,,
,"27,309
5,136
172,977",,"41,352
3,362
297,036","10,341
840
98,376","21,471
1,696
223,254","17,037
5,002
183,051","41,277
3,171
296,632","10,341
773
98,270","21,471
1,629
222,905",,,,
,"571,973
206,250",,"1,094,156
561,028","326,223
171,578","691,425
345,391","571,485
205,858","1,093,183
560,235","325,970
171,387","690,788
345,173",,,,
,-,,-,-,-,-,-,-,-,,,,
,"206,250",,"561,028","171,578","345,391","205,858","560,235","171,387","345,173",,,,
,"(67,577)",,"(186,803)","(51,454)","(103,552)","(67,577)","(186,803)","(51,454)","(103,552)",,,,
,"3,123",,"5,306",-,-,"3,123","7,368",-,-,,,,
,"141,796",,"379,531","120,124","241,839","141,404","380,800","119,933","241,621",,,,
,1.23,,1.65,2.09,2.10,1.23,1.66,2.09,2.10,,,,
,-,,0.70,-,0.50,-,0.70,-,0.50,,,,
