UNAUDITED FINANCIAL STATEMENTS AND OTHER DISCLOSURES,EQUITY BANK (KENYA) LIMITED,Column,EQUITY GROUP HOLDINGS PLC,Column,Column,Column
,"39,980,566 55,148,268 14,025,469 28,489,748","45,345,415","199,900 12,740,338 387,421 642,476","721,801","54,832,418 75,762,414 19,858,322 39,035,454","64,128,459"
,"1,100,911 3,969,783 2,629,002 6,725,334
6,091,787 8,579,853 2,033,679 4,505,033
18,637 18,865 4,478 10,436
1,107,096 180,994 58,342 113,174
1,401,169 2,918,655 758,079 1,485,226
849,552 1,111,474 251,133 499,735
8,869,457 12,394,979 3,296,454 5,989,824",,"- 960 - -
- 11,073 4,705 9,482
70,338 75,631 5,096 13,079
- 2,058 - -
- 354 413 854
- - - -
112,729 320,014 23,351 69,443",,"1,877,403 5,302,566 3,116,721 8,022,277
9,317,773 12,808,766 3,233,191 6,719,322
127,256 143,460 21,714 50,351
2,080,244 425,178 100,858 218,988
2,333,631 4,754,343 1,236,542 2,451,271
982,135 1,266,816 321,481 639,283
13,322,440 19,583,855 4,824,154 8,956,470",
,,"12,333,242",,-,,"14,757,732"
,,"6,919,580",,"14,276",,"10,829,452"
,,"16,268",,"17,826",,"79,051"
,,"166,502",,-,,"354,249"
,,"2,190,034",,"1,316",,"3,725,091"
,,"754,521",,-,,"1,032,479"
,,"9,013,064",,"133,600",,"14,496,904"
,"19,438,609 29,174,603 9,031,167 19,328,762","31,393,211","183,067 410,090 33,565 92,858","167,018","30,040,882 44,284,984 12,854,661 27,057,962","45,274,958"
,"20,541,957 25,973,665 4,994,302 9,160,986
- - - -","13,952,204","16,833 12,330,248 353,856 549,618
- - - -","554,783","24,791,536 31,477,430 7,003,661 11,977,492
- - - -","18,853,501"
,,-,,-,,"906,570"
,"20,541,957 25,973,665 4,994,302 9,160,986
(6,162,587) (8,476,145) (2,098,291) (3,385,738)
- 1,246,224 952,629 1,398,173","13,952,204","16,833 12,330,248 353,856 549,618
(5,050) (68,255) (76,157) (98,921)
- 1,485 - (7,289)","554,783","24,791,536 31,477,430 7,003,661 11,977,492
(7,252,068) (10,023,375) (2,671,465) (4,399,682)
(63,772) 1,106,659 992,727 1,499,293","19,760,071"
,,"(5,304,112)",,"(100,212)",,"(6,798,557)"
,,"1,981,196",,"(7,289)",,"2,081,863"
,"14,379,370 18,743,744 3,848,640 7,173,421
- - - -","10,629,288","11,783 12,263,478 277,699 443,408
- - - -","447,282","17,475,696 22,560,714 5,324,923 9,077,103
(135,914) (174,737) (40,833) (54,986)","15,043,377"
,,-,,-,,"(228,900)"
,"14,379,370 18,743,744 3,848,640 7,173,421","10,629,288","11,783 12,263,478 277,699 443,408","447,282","17,339,782 22,385,977 5,284,090 9,022,117","14,814,477"
,"- - - -
3,525,991 2,584,056 (1,134,366) 1,089,666
- - - -
- - - -
- - - -",,"- - - -
- - - -
- - - -
- - - -
- - - -",,"315,803 (824,487) 398,823 1,183,016
3,499,109 2,630,066 (1,096,890) 1,323,260
- - - -
- - - -
- - - -",
,,-,,-,,"1,656,584"
,,"3,274,444",,-,,"3,482,787"
,,-,,-,,-
,,-,,-,,-
,,-,,-,,-
,"3,525,991 2,584,056 (1,134,366) 1,089,666","3,274,444",- - - -,-,"3,814,912 1,805,579 (698,067) 2,506,276","5,139,371"
,"17,905,361 21,327,800 2,714,274 8,263,087","13,903,732","11,783 12,263,478 277,699 443,408","447,282","21,290,608 24,366,293 4,626,856 11,583,379","20,182,748"
