Equity Bank (Kenya) Limited,Column,Column,Equity Group Holdings Limited,Column,Column,Column,Column
"347,559,904 379,748,996","393,863,646","66,718,812 73,446,245",,"73,586,056","430,187,193 473,713,133",,"492,153,466"
"9,465,508 35,175,592
1,017,086 6,699,995
205,904 1,002,446
44,950 194,517",,"- -
- -
19,466 68,754
- -",,,"11,238,433 43,065,889
1,281,162 7,882,239
290,787 538,904
71,869 353,572",,
,"6,072,495",,,-,,,"8,191,847"
,"2,724,759",,,-,,,"2,964,984"
,"151,077",,,"152,548",,,"258,056"
,"25,243",,,307,,,"50,160"
"10,733,448 43,072,550
1,356,199 6,115,253
6,082 60,970
428,519 1,836,594","8,973,574","19,466 68,754
- -
- -
- -",,"152,855","12,882,251 51,840,604
1,773,400 7,883,466
60,821 220,719
615,101 1,922,526",,"11,465,047"
,"1,520,483",,,-,,,"2,021,029"
,"10,490",,,-,,,"48,646"
,"485,345",,,-,,,"509,416"
"1,790,800 8,012,818","2,016,318",- -,,-,"2,449,321 10,026,712",,"2,579,091"
"8,942,648 35,059,732","6,957,257","19,466 68,754",,"152,855","10,432,930 41,813,893",,"8,885,956"
"815,740 3,831,268
1,879,224 8,418,842
624,873 1,910,435
- -
144,370 1,103,549",,"- -
- -
- -
- 11,300,000
24,476 97,214",,,"930,820 4,416,234
2,611,766 11,364,858
842,417 3,307,113
- -
828,161 3,130,579",,
,"1,240,213",,,-,,,"1,377,130"
,"2,378,571",,,-,,,"3,107,974"
,"587,125",,,-,,,"916,587"
,-,,,-,,,-
,"172,517",,,-,,,"931,604"
"3,464,208 15,264,095","4,378,426","24,476 11,397,214",,-,"5,213,164 22,218,783",,"6,333,295"
"12,406,856 50,323,827","11,335,682","43,941 11,465,968",,"152,855","15,646,094 64,032,676",,"15,219,252"
"382,029 5,010,763
2,197,054 8,096,990
- 17,276
306,778 1,262,656
722,835 2,816,348
153,949 705,012
1,990,636 9,637,211",,"- -
- -
- 13,372
- -
- -
- -
5,937 75,494",,,"704,919 6,645,641
2,993,523 11,628,908
5,954 65,117
549,900 2,039,919
902,346 3,764,250
180,915 974,707
3,021,297 13,987,251",,
,"630,652",,,-,,,"796,900"
,"1,636,535",,,-,,,"2,472,447"
,"2,777",,,"2,033",,,"12,660"
,"326,950",,,-,,,"593,290"
,"678,137",,,-,,,"931,828"
,"185,677",,,-,,,"218,420"
,"2,010,361",,,"36,922",,,"3,292,925"
"5,753,280 27,546,255","5,471,089","5,937 88,866",,"38,955","8,358,853 39,105,794",,"8,318,470"
"6,653,575 22,777,572
- -","5,864,593","38,004 11,377,102
- -",,"113,900","7,287,241 24,926,883
- -",,"6,900,782"
,-,,,-,,,-
"6,653,575 22,777,572
(1,996,073) (7,715,023)
- 155,686","5,864,593","38,004 11,377,102
(11,401) 94,197
- -",,"113,900","7,287,241 24,926,883
(2,200,413) (8,582,349)
50,047 257,995",,"6,900,782"
,"(1,759,378)",,,"(34,170)",,,"(2,050,660)"
,-,,,-,,,-
"4,657,503 15,218,234
- -","4,105,215","26,603 11,471,299
- -",,"79,730","5,136,876 16,602,529
4,718 56,735",,"4,850,122"
,-,,,-,,,"17,461"
"4,657,503 15,218,234","4,105,215","26,603 11,471,299",,"79,730","5,132,157 16,545,794",,"4,832,661"
"- -
(28,859) 683,195
- -
- -
- -",,"- -
- -
- -
- -
- -",,,"(581,160) 99,102
(28,859) 686,403
- -
- -
- -",,
,-,,,-,,,"340,443"
,"(179,207)",,,-,,,"(180,972)"
,-,,,-,,,-
,-,,,-,,,-
,-,,,-,,,-
"(28,859) 683,195","(179,207)",- -,,-,"(610,019) 785,505",,"159,471"
"4,628,644 15,901,429","3,926,008","26,603 11,471,299",,"79,730","4,522,138 17,331,299",,"4,992,132"
"155.25 507.27
- 366.67
8,248,531 15,457,320
1,674,141 1,816,643",136.84,"0.01 3.04
- 2.00
- -
- -",,0.02,"1.39 4.38
- 2.00
10,915,628 18,754,023
1,882,217 2,036,824",,1.28
,-,,,-,,,-
,"15,355,068",,,-,,,"19,509,295"
,"2,081,336",,,-,,,"2,333,688"
"6,574,390 13,640,677","13,273,732",- -,,-,"9,033,411 16,717,199",,"17,175,607"
"3,043,325 5,416,636
3,531,065 8,224,041
2,834,697 7,296,995","5,647,521","- -
- -
- -",,-,"4,228,285 6,959,640
4,805,126 9,757,559
4,058,145 8,829,046",,"7,069,507"
,"7,626,211",,,-,,,"10,106,100"
,"6,649,306",,,-,,,"9,105,049"
"696,368 927,046","976,904",- -,,-,"746,981 928,513",,"1,001,051"
"2,374,258 2,712,762
5,585,120 5,084,658",,"- -
- -",,,"2,374,258 2,712,762
5,983,809 6,005,984",,
,"2,886,735",,,-,,,"2,980,280"
,"4,895,253",,,-,,,"5,865,634"
"7,959,378 7,797,420","7,781,988",- -,,-,"8,358,067 8,718,747",,"8,845,914"
"19,877,248 32,733,625
38,371,279 7,749,424
5,694,789 -",,"- -
- -
- -",,,"22,380,106 35,676,396
38,371,279 7,749,424
5,694,789 410,344",,
,"34,448,069",,,-,,,"37,666,636"
,"19,702,640",,,-,,,"20,734,024"
,-,,,-,,,-
"63,943,317 40,483,049","54,150,710",- -,,-,"66,446,174 43,836,164",,"58,400,660"
"49,988,086 51,248,255
1,000,000 1,000,000",,"- -
- -",,,"72,732,547 78,499,561
1,000,000 4,173,124",,
,"53,300,859",,,-,,,"80,924,622"
,"1,000,000",,,-,,,"4,173,124"
"48,989,737 50,248,255","52,300,859",- -,,-,"71,732,547 74,326,437",,"76,751,498"
"4,586,176 3,846,788
54,575,913 55,095,043
338,895,732 356,087,595
20.5% 18.5%
10.5% 10.5%","3,446,417","- -
- -
- -
- -
- -",,-,"5,227,518 4,248,766
77,960,065 82,748,327
397,824,037 420,890,802
24.2% 23.3%
10.5% 10.5%",,"3,848,395"
,"56,747,276",,,-,,,"84,773,016"
,"358,841,053",,,-,,,"418,802,658"
,18.5%,,,-,,,23.2%
,10.5%,,,-,,,10.5%
10.0% 8.0%,8.0%,- -,,-,13.7% 12.8%,,12.7%
"14.8% 14.4%
10.5% 10.5%",14.9%,"- -
- -",,-,"18.3% 18.7%
10.5% 10.5%",,19.3%
,10.5%,,,-,,,10.5%
4.3% 3.9%,4.4%,- -,,-,7.8% 8.2%,,8.8%
"16.1% 15.5%
14.5% 14.5%","15.8%
14.5%","- -
- -",,"-
-","19.6% 19.7%
14.5% 14.5%",,"20.2%
14.5%"
"1.6% 1.0%
29.4% 47.7%","1.3%
53.2%","- -
- -",,"-
-","5.1% 5.2%
34.9% 47.6%",,"5.7%
50.6%"
