UNAUDITED FINANCIAL STATEMENTS AND OTHER DISCLOSURES,EQUITY BANK (KENYA) LIMITED,Column,EQUITY GROUP HOLDINGS PLC,Column,Column,Column
,,"14,454,454",,-,,"17,666,301"
,,"14,454,454",,-,,"14,454,454"
,,-,,-,,"3,211,847"
,,"183,693,730",,-,,"198,719,614"
,,"166,460,811",,-,,"166,790,196"
,,"17,232,919",,-,,"31,929,418"
,,"809,849",,-,,"13,157,199"
,,"9,995,689",,-,,"31,366,918"
,,-,,"8,923",,"110,843"
,,"293,741,008",,-,,"391,633,218"
,,"1,283,328",,"41,530",,-
,,-,,-,,-
,,-,,"70,193,742",,-
,,-,,-,,-
,,-,,-,,-
,,"5,700,234",,"12,329",,"11,165,575"
,,-,,-,,-
,,"6,565,858",,-,,"7,540,002"
,,"6,769,536",,"77,191",,"8,279,546"
,,-,,-,,-
,,"14,786,211",,"156,450",,"24,775,866"
,"482,709,421 507,525,237 530,686,258","562,011,143","67,485,609 79,833,559 83,595,580","80,109,253","638,662,575 673,682,541 693,185,695","746,469,073"
,"- - -
356,051,631 380,603,583 399,431,891
- - -
- - -
4,070,945 534,216 5,026,430
36,193,668 41,542,934 39,832,786
201,978 176,118 434,925
553,345 1,257,482 3,355,773
- - -
- - -
- - -
11,994,330 13,496,535 9,975,964",,"- - -
- - -
- - -
- - -
- - -
- - -
510,450 618,649 4,086,124
- - 38,789
- - -
- - -
- - -
2,884 38,511 16,567",,"- - -
458,595,144 482,752,134 499,328,941
- - -
- - -
4,461,640 113,414 2,513,660
51,415,487 56,600,944 52,593,634
76,774 - 74,804
843,411 1,928,201 4,169,437
- - -
59,331 149,708 138,590
- - -
20,471,429 20,361,475 17,963,108",
,,-,,-,,-
,,"423,822,908",,-,,"543,893,929"
,,-,,-,,-
,,-,,-,,-
,,-,,-,,"343,150"
,,"45,962,394",,-,,"57,230,292"
,,"586,010",,"480,242",,"90,233"
,,"443,305",,-,,"815,083"
,,-,,-,,-
,,-,,-,,"25,564"
,,-,,-,,-
,,"13,019,225",,"9,204",,"20,710,778"
,"409,065,897 437,610,867 458,057,769","483,833,843","513,334 657,160 4,141,480","489,446","535,923,216 561,905,876 576,782,174","623,109,029"
,"30,000,000 30,000,000 30,000,000
9,964,132 9,964,132 9,964,132
3,158,143 2,380,913 1,246,547
30,521,249 27,569,325 31,417,810
- - -
- - -
- - -
- - -",,"1,886,837 1,886,837 1,886,837
16,062,607 16,062,607 16,062,607
- - -
49,022,831 61,226,955 61,504,656
- - -
- - -
- - -
- - -",,"1,886,837 1,886,837 1,886,837
16,062,607 16,062,607 16,062,607
(5,704,094) (7,118,600) (7,816,667)
89,405,901 99,149,659 104,433,749
117,192 738,780 738,780
- - -
- - -
970,916 1,057,382 1,098,215",
,,"30,000,000",,"1,886,837",,"1,886,837"
,,"9,964,132",,"16,062,607",,"16,062,607"
,,"3,470,579",,-,,"(4,612,324)"
,,"34,742,590",,"61,670,363",,"108,171,776"
,,-,,-,,"738,780"
,,-,,-,,-
,,-,,-,,-
,,-,,-,,"1,112,368"
,"73,643,524 69,914,370 72,628,489","78,177,301","66,972,275 79,176,399 79,454,100","79,619,807","102,739,359 111,776,665 116,403,521","123,360,044"
,"482,709,421 507,525,237 530,686,258","562,011,143","67,485,609 79,833,559 83,595,580","80,109,253","638,662,575 673,682,541 693,185,695","746,469,073"
,"12,723,442 28,835,285 7,293,372
7,956,428 15,658,672 4,156,241
101,196 799,441 106,398
33,149 190,439 16,386",,"- - -
- - -
167,482 181,752 255,095
- - -",,"18,629,410 41,458,529 10,767,246
8,506,301 16,872,322 4,516,558
507,702 1,201,517 119,210
36,957 190,439 20,198",
,,"15,578,001",,-,,"22,510,277"
,,"8,961,727",,-,,"9,763,685"
,,"155,403",,"403,350",,"379,235"
,,"31,801",,-,,"143,049"
,"20,814,215 45,483,837 11,572,397","24,726,932","167,482 181,752 255,095","403,350","27,680,371 59,722,807 15,423,212","32,796,246"
,"3,787,015 7,908,835 2,443,905
85,705 139,496 7,101
1,036,631 3,020,094 747,591",,"- - -
- - -
- - -",,"5,203,448 11,072,280 2,821,123
363,002 698,524 130,191
1,034,670 2,969,642 926,737",
,,"5,049,348",,-,,"6,123,976"
,,"23,751",,-,,"263,122"
,,"1,449,311",,-,,"1,773,927"
,"4,909,351 11,068,425 3,198,597","6,522,410",- - -,-,"6,601,120 14,740,446 3,878,051","8,161,025"
,"15,904,864 34,415,412 8,373,800","18,204,522","167,482 181,752 255,095","403,350","21,079,251 44,982,361 11,545,161","24,635,221"
,"2,464,724 5,017,215 1,284,960
4,894,965 10,371,202 2,664,907
1,161,139 2,312,072 695,548
- - -
1,521,600 3,032,367 1,006,254",,"- - -
- - -
- - -
- 12,500,000 100,000
27,511 58,586 32,326",,"2,753,974 5,596,635 1,401,477
7,275,575 15,608,742 4,002,812
1,859,139 3,503,661 1,094,954
- - -
4,654,646 6,071,015 1,813,918",
,,"2,198,564",,-,,"2,457,713"
,,"4,323,723",,-,,"6,765,169"
,,"1,547,446",,-,,"2,230,993"
,,-,,"206,800",,-
,,"2,215,493",,"32,326",,"2,946,358"
,"10,042,428 20,732,856 5,651,669","10,285,226","27,511 12,558,586 132,326","239,126","16,543,334 30,780,053 8,313,161","14,400,233"
,"25,947,292 55,148,268 14,025,469","28,489,748","194,993 12,740,338 387,421","642,476","37,622,585 75,762,414 19,858,322","39,035,454"
,"450,553 3,969,783 2,629,002
3,829,272 8,579,853 2,033,679
9,450 18,865 4,478
733,588 180,994 58,342
962,835 2,918,655 758,079
575,665 1,111,474 251,133
5,534,752 12,394,979 3,296,454",,"- 960 -
- 11,073 4,705
63,468 75,631 5,096
- 2,058 -
- 354 413
- - -
46,734 320,014 23,351",,"918,498 5,302,566 3,116,721
5,945,962 12,808,766 3,233,191
100,129 143,460 21,714
1,362,944 425,178 100,858
1,567,033 4,754,343 1,236,542
661,686 1,266,816 321,481
10,077,278 19,583,855 4,824,154",
,,"6,725,334",,-,,"8,022,277"
,,"4,505,033",,"9,482",,"6,719,322"
,,"10,436",,"13,079",,"50,351"
,,"113,174",,-,,"218,988"
,,"1,485,226",,854,,"2,451,271"
,,"499,735",,-,,"639,283"
,,"5,989,824",,"69,443",,"8,956,470"
,"12,096,115 29,174,603 9,031,167","19,328,762","110,202 410,090 33,565","92,858","20,633,530 44,284,984 12,854,661","27,057,962"
,"13,851,177 25,973,665 4,994,302
- - -","9,160,986","84,791 12,330,248 353,856
- - -","549,618","16,989,055 31,477,430 7,003,661
- - -","11,977,492"
,,-,,-,,-
,"13,851,177 25,973,665 4,994,302
(4,155,353) (8,476,145) (2,098,291)
- 1,246,224 952,629","9,160,986","84,791 12,330,248 353,856
(25,437) (68,255) (76,157)
- 1,485 -","549,618","16,989,055 31,477,430 7,003,661
(4,898,817) (10,023,375) (2,671,465)
(82,492) 1,106,659 992,727","11,977,492"
,,"(3,385,738)",,"(98,921)",,"(4,399,682)"
,,"1,398,173",,"(7,289)",,"1,499,293"
,"9,695,824 18,743,744 3,848,640
- - -","7,173,421","59,354 12,263,479 277,699
- - -","443,408","12,007,746 22,560,714 5,324,923
(88,271) (174,737) (40,833)","9,077,103"
,,-,,-,,"(54,986)"
,"9,695,824 18,743,744 3,848,640","7,173,421","59,354 12,263,479 277,699","443,408","11,919,475 22,385,977 5,284,090","9,022,117"
,"- - -
3,361,288 2,584,056 (1,134,366)
- - -
- - -
- - -",,"- - -
- - -
- - -
- - -
- - -",,"(2,699) (824,487) 398,823
3,323,936 2,630,066 (1,096,890)
- - -
- - -
- - -",
,,-,,-,,"1,183,016"
,,"1,089,666",,-,,"1,323,260"
,,-,,-,,-
,,-,,-,,-
,,-,,-,,-
,"3,361,288 2,584,056 (1,134,366)","1,089,666",- - -,-,"3,321,237 1,805,579 (698,067)","2,506,276"
,"13,057,112 21,327,800 2,714,274","8,263,087","59,354 12,263,479 277,699","443,408","15,328,983 24,366,293 4,626,856","11,583,379"
