EQUITY BANK (KENYA) LIMITED,Column,EQUITY GROUP HOLDINGS PLC,Column,Column,Column
"-
13,496,534","-
12,786,598","-
38,511","-
-","-
20,361,475","2,404,916
33,005,388"
"437,610,867","580,952,347","657,160","11,378,359","561,905,876","876,452,515"
"30,000,000","30,000,000","1,886,837","1,886,837","1,886,837","1,886,837"
"9,964,132","9,964,132","16,062,607","15,325,264","16,062,607","15,325,264"
"2,380,913","5,160,545",-,-,"(7,118,600)","(4,378,592)"
"27,569,325","41,572,743","61,226,955","61,386,284","99,149,659","118,765,898"
-,-,-,-,"738,780","576,960"
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,"1,057,382","6,464,433"
"69,914,370","86,697,420","79,176,399","78,598,385","111,776,665","138,640,800"
"507,525,237","667,649,767","79,833,559","89,976,744","673,682,541","1,015,093,315"
"28,835,285","34,069,068",-,-,"41,458,529","52,033,992"
"15,658,672","19,086,254",-,-,"16,872,322","20,936,048"
"799,441","247,435","181,752","422,924","1,201,517","548,485"
"190,439","246,308",-,-,"190,439","246,308"
"45,483,837","53,649,065","181,752","422,924","59,722,807","73,764,833"
"7,908,835","10,602,273",-,-,"11,072,280","13,717,169"
"139,496","69,538",-,-,"698,524","1,324,960"
"3,020,094","2,956,656",-,"12,529","2,969,642","3,573,913"
"11,068,425","13,628,467",-,"12,529","14,740,446","18,616,042"
"34,415,412","40,020,598","181,752","410,395","44,982,361","55,148,791"
"5,017,215","5,770,609",-,-,"5,596,635","6,619,616"
"10,371,202","8,384,805",-,-,"15,608,742","16,052,314"
"2,312,072","3,690,302",-,-,"3,503,661","6,210,112"
-,-,"12,500,000","606,800",-,-
"3,032,367","5,932,193","58,586","10,046","6,071,015","9,626,039"
"20,732,856","23,777,909","12,558,586","616,846","30,780,053","38,508,081"
"55,148,268","63,798,507","12,740,338","1,027,241","75,762,414","93,656,872"
"3,969,783","23,357,937",960,-,"5,302,566","26,631,273"
"8,579,853","9,694,384","11,073","28,328","12,808,766","15,418,429"
"18,865","22,685","75,631","24,906","143,460","123,778"
"180,994","212,461","2,058","3,530","425,178","377,478"
"2,918,655","2,897,288",354,"1,797","4,754,343","5,349,609"
"1,111,474","1,014,002",-,-,"1,266,816","1,251,548"
"12,394,979","12,392,407","320,014","753,238","19,583,855","23,512,357"
"29,174,603","49,591,164","410,090","811,799","44,284,984","72,664,472"
"25,973,665","14,207,343","12,330,248","215,442","31,477,430","20,992,400"
-,-,-,-,-,"1,177,390"
"25,973,665","14,207,343","12,330,248","215,442","31,477,430","22,169,790"
"(8,476,145)","(7,599,106)","(68,255)","(61,687)","(10,023,375)","(10,306,675)"
"1,246,224","7,395,831","1,485","5,574","1,106,659","8,236,431"
"18,743,744
-","14,004,068
-","12,263,478
-","159,329
-","22,560,714
(174,737)","20,099,546
(310,148)"
"18,743,744","14,004,068","12,263,478","159,329","22,385,977","19,789,398"
-,-,-,-,"(824,487)","(224,348)"
"2,584,056","2,779,632",-,-,"2,630,066","2,964,356"
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
"2,584,056","2,779,632",-,-,"1,805,579","2,740,008"
"21,327,800","16,783,700","12,263,478","159,329","24,366,293","22,839,554"
624.79,466.80,3.25,0.04,5.93,5.24
400.00,-,-,-,-,-
"26,184,843","42,824,644",-,-,"36,273,992","59,392,899"
"3,595,537","6,157,258",-,-,"4,299,222","8,765,884"
"22,589,306","36,667,386",-,-,"31,974,770","50,627,015"
"10,105,423","22,350,223",-,-,"12,937,708","28,296,995"
"12,483,883","14,317,163",-,-,"19,037,062","22,330,020"
"11,341,973","14,317,163",-,-,"17,897,872","22,330,020"
"1,141,910",-,-,-,"1,139,190",-
"3,001,441","4,635,346",-,-,"3,188,958","5,484,014"
"4,997,039","5,776,376",-,-,"6,484,656","7,919,910"
"7,998,480","10,411,722",-,-,"9,673,614","13,403,924"
"72,277,376","73,879,069",-,-,"83,225,929","104,002,031"
"32,137,299","35,124,888",-,-,"32,809,333","35,124,888"
-,-,-,-,-,-
"104,414,675","109,003,957",-,-,"116,035,262","139,126,919"
"62,469,024","70,268,038",-,-,"107,504,675","119,668,525"
"1,000,000","1,000,000",-,-,"4,173,124","4,173,124"
"61,469,024","69,268,038",-,-,"103,331,551","115,495,401"
"20,270,000","21,850,000",-,-,"21,032,684","33,609,907"
"82,739,024","92,118,038",-,-,"128,537,359","153,278,432"
"475,759,743","566,959,169",-,-,"601,744,216","809,585,432"
16.4%,14.1%,-,-,22.3%,16.2%
8.0%,8.0%,-,-,8.0%,8.0%
8.4%,6.1%,-,-,14.3%,8.2%
13.1%,12.4%,-,-,17.9%,14.8%
10.5%,10.5%,-,-,10.5%,10.5%
2.6%,1.9%,-,-,7.4%,4.3%
17.4%,16.2%,-,-,21.4%,18.9%
14.5%,14.5%,-,-,14.5%,14.5%
2.9%,1.7%,-,-,6.9%,4.4%
16.7%,14.2%,-,-,22.7%,16.2%
13.3%,12.5%,-,-,18.2%,14.8%
17.6%,16.3%,-,-,21.7%,19.0%
54.7%,73.1%,-,-,52.1%,59.3%
20.0%,20.0%,-,-,20.0%,20.0%
34.7%,53.1%,-,-,32.1%,39.3%
