Column,EQUITY BANK (KENYA) LIMITED,Column,Column,Column,EQUITY GROUP HOLDINGS PLC,Column,Column,Column,Column,Column,Column,Column,Column,Column
,"15,862,903","15,801,287","15,909,025 15,101,536","14,749,208",-,-,-,-,-,"26,607,692","27,406,762","26,570,335","26,521,736","28,176,095"
,"86,684,042
15,448,816
-",,"66,871,960 79,542,580
8,930,951 7,913,014
- -",,"-
-
-",,,,,"141,387,540
32,086,764
-",,,,
,,"75,275,933",,"100,134,070",,-,-,-,-,,"133,158,381","187,992,912","177,155,618","178,733,499"
,,"2,667,361",,"8,806,812",,-,-,-,-,,"53,911,356","36,180,270","43,389,999","46,973,966"
,,-,,-,,-,-,-,-,,-,-,-,-
,"102,132,858","77,943,294","75,802,911 87,455,594","108,940,882",-,-,-,-,-,"173,474,304","187,069,737","224,173,182","220,545,617","225,707,465"
,"132,014,104
1,000,000",,"135,257,431 140,448,543
1,000,000 1,000,000",,"-
-",,,,,"222,158,956
4,173,124",,,,
,,"132,336,448",,"145,517,767",,-,-,-,-,,"251,503,364","240,782,549","250,102,305","256,445,223"
,,"1,000,000",,"1,000,000",,-,-,-,-,,"4,173,124","4,173,124","4,173,124","4,173,124"
,"131,014,104","131,336,448","134,257,431 139,448,543","144,517,767",-,-,-,-,-,"217,985,832","247,330,240","236,609,425","245,929,181","252,272,099"
,"23,967,127","16,885,716","17,652,550 16,583,445","19,795,798",-,-,-,-,-,"32,497,256","25,200,447","25,321,032","24,043,647","26,005,902"
,"155,981,231","149,222,164","152,909,981 157,031,988","165,313,565",-,-,-,-,-,"254,656,212","276,703,811","266,103,581","274,145,952","282,451,125"
,"833,715,809","846,170,962","844,186,383 850,058,371","853,178,838",-,-,-,-,-,"1,394,158,326","1,453,481,084","1,456,877,878","1,511,861,258","1,541,445,244"
,"16.6%
8.0%
8.6%
15.8%
10.5%
5.3%
18.7%
14.5%
4.2%
76.1%
20.0%
56.1%",,"17.1% 18.9%
8.0% 8.0%
9.1% 10.9%
16.0% 16.5%
10.5% 10.5%
5.5% 6.0%
18.1% 18.5%
14.5% 14.5%
3.6% 4.0%
74.4% 70.9%
20.0% 20.0%
54.4% 50.9%",,"-
-
-
-
-
-
-
-
-
-
-
-",,,,,"16.9%
8.0%
8.9%
15.9%
10.5%
5.4%
18.3%
14.5%
3.8%
55.0%
20.0%
35.0%",,,,
,,15.7%,,19.5%,,-,-,-,-,,18.0%,18.2%,18.9%,19.1%
,,8.0%,,8.0%,,-,-,-,-,,8.0%,8.0%,8.0%,8.0%
,,7.7%,,11.5%,,-,-,-,-,,10.0%,10.2%,10.9%,11.1%
,,15.6%,,17.1%,,-,-,-,-,,17.3%,16.5%,16.5%,16.6%
,,10.5%,,10.5%,,-,-,-,-,,10.5%,10.5%,10.5%,10.5%
,,5.1%,,6.6%,,-,-,-,-,,6.8%,6.0%,6.0%,6.1%
,,17.6%,,19.4%,,-,-,-,-,,19.0%,18.3%,18.1%,18.3%
,,14.5%,,14.5%,,-,-,-,-,,14.5%,14.5%,14.5%,14.5%
,,3.1%,,4.9%,,-,-,-,-,,4.5%,3.8%,3.6%,3.8%
,,79.7%,,78.4%,,-,-,-,-,,57.4%,58.5%,58.6%,61.0%
,,20.0%,,20.0%,,-,-,-,-,,20.0%,20.0%,20.0%,20.0%
,,59.7%,,58.4%,,-,-,-,-,,37.4%,38.5%,38.6%,41.0%
